file_name,a0_spectral_entropy_x,a0_spectral_centroid_x,a0_spectral_flatness_x,a0_spectral_bandwidth_x,a0_std_dev_time_diff_x,a0_mean_time_diff_x,a0_median_time_diff_x,a0_max_peak_x,a0_median_peak_x,a0_std_peak_x,a0_peaks_per_second_x,a0_sum_peak_magnitude_x,a0_percent_time_above_threshold_x,a0_num_boilings_x,a0_unused_peak_proportion_x,a1_spectral_entropy_x,a1_spectral_centroid_x,a1_spectral_flatness_x,a1_spectral_bandwidth_x,a1_std_dev_time_diff_x,a1_mean_time_diff_x,a1_median_time_diff_x,a1_max_peak_x,a1_median_peak_x,a1_std_peak_x,a1_peaks_per_second_x,a1_sum_peak_magnitude_x,a1_percent_time_above_threshold_x,a1_num_boilings_x,a1_unused_peak_proportion_x,num_peak_mag_high_diff_x,avg_peak_mag_diff_x,peak_mag_correlation_x,cluster,a0_spectral_entropy_y,a0_spectral_centroid_y,a0_spectral_flatness_y,a0_spectral_bandwidth_y,a0_std_dev_time_diff_y,a0_mean_time_diff_y,a0_median_time_diff_y,a0_max_peak_y,a0_median_peak_y,a0_std_peak_y,a0_peaks_per_second_y,a0_sum_peak_magnitude_y,a0_percent_time_above_threshold_y,a0_num_boilings_y,a0_unused_peak_proportion_y,a1_spectral_entropy_y,a1_spectral_centroid_y,a1_spectral_flatness_y,a1_spectral_bandwidth_y,a1_std_dev_time_diff_y,a1_mean_time_diff_y,a1_median_time_diff_y,a1_max_peak_y,a1_median_peak_y,a1_std_peak_y,a1_peaks_per_second_y,a1_sum_peak_magnitude_y,a1_percent_time_above_threshold_y,a1_num_boilings_y,a1_unused_peak_proportion_y,num_peak_mag_high_diff_y,avg_peak_mag_diff_y,peak_mag_correlation_y
"MATLAB 1-02 PM Mon, Mar 11, 2024 Run4 .csv",4.807220506399118,1190.9354735825236,0.1574356891352294,719.5554015117594,0.1593878108725746,0.1484099998683681,0.1175499998955834,0.0265381073951721,0.0178889024257659,0.002253673924067,6.733378228493666,1.845957903861995,0.0042066666666666,2,0.8415841584158416,5.061525607748599,1352.8009345265434,0.2152013360479006,896.8798141319595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3,4.807220506399118,1190.9354735825236,0.1574356891352294,719.5554015117594,0.1593878108725746,0.1484099998683681,0.1175499998955834,0.0265381073951721,0.0178889024257659,0.002253673924067,6.733378228493666,1.845957903861995,0.0042066666666666,2,0.8415841584158416,5.061525607748599,1352.8009345265434,0.2152013360479006,896.8798141319595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
"MATLAB 1-32 PM Tue, Jun 4, 2024 Run1.csv",6.026158636246176,1211.671184972443,0.455415273023901,1215.9504479435495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.621818082607664,900.1363367781094,0.3227543802004863,1059.6952380844705,1.6916668693392107,1.2576249988872006,0.333899999702659,0.0162594258785247,0.015206948518753,0.00045962641277,0.5000050004925916,0.0770640885829923,5e-05,1,0.4,0,0.0007196426391602,0.0,3,6.026158636246176,1211.671184972443,0.455415273023901,1215.9504479435495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.621818082607664,900.1363367781094,0.3227543802004863,1059.6952380844705,1.6916668693392107,1.2576249988872006,0.333899999702659,0.0162594258785247,0.015206948518753,0.00045962641277,0.5000050004925916,0.0770640885829923,5e-05,1,0.4,0,0.0007196426391602,0.0
"MATLAB 12-13 PM Fri, Mar 8, 2024 Run0 .csv",4.684719191058633,1139.790967973211,0.1453535919946298,685.1828184364082,0.1843167982117224,0.2106753844285956,0.1442999998714995,0.0239833760261535,0.0169585072994231,0.0020252387919529,4.400029337431505,1.1508004629611936,0.0017666666666666,2,0.803030303030303,4.987181160898572,1266.2206735775933,0.1999699386333487,858.8064918448829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3,4.684719191058633,1139.790967973211,0.1453535919946298,685.1828184364082,0.1843167982117224,0.2106753844285956,0.1442999998714995,0.0239833760261535,0.0169585072994231,0.0020252387919529,4.400029337431505,1.1508004629611936,0.0017666666666666,2,0.803030303030303,4.987181160898572,1266.2206735775933,0.1999699386333487,858.8064918448829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
"MATLAB 12-16 PM Fri, Mar 8, 2024 Run1 .csv",4.704495990426936,1154.411717088331,0.1513912883394313,697.2299466168739,0.501510566464104,0.3294288885967048,0.1242999998893097,0.0223840987682342,0.0169305568933486,0.0018596526235777,3.0666871139674123,0.8024111807346322,0.0017533333333333,0,1.0,5.044396248076201,1299.7494887019373,0.2036782025269118,888.1565269413917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3,4.704495990426936,1154.411717088331,0.1513912883394313,697.2299466168739,0.501510566464104,0.3294288885967048,0.1242999998893097,0.0223840987682342,0.0169305568933486,0.0018596526235777,3.0666871139674123,0.8024111807346322,0.0017533333333333,0,1.0,5.044396248076201,1299.7494887019373,0.2036782025269118,888.1565269413917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
"MATLAB 12-18 PM Fri, Mar 8, 2024 Run2 .csv",4.7105085483591695,1119.4449489691194,0.1473843219540533,684.5038920273413,0.2268528094554272,0.2036205477646057,0.1362999998798351,0.0251007497310638,0.0172505408525466,0.0021515542933107,4.933366226817141,1.314768468141552,0.0028933333333333,0,1.0,5.0340300379503935,1270.2328624895067,0.1954269077361082,857.3628301084843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3,4.7105085483591695,1119.4449489691194,0.1473843219540533,684.5038920273413,0.2268528094554272,0.2036205477646057,0.1362999998798351,0.0251007497310638,0.0172505408525466,0.0021515542933107,4.933366226817141,1.314768468141552,0.0028933333333333,0,1.0,5.0340300379503935,1270.2328624895067,0.1954269077361082,857.3628301084843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
"MATLAB 12-23 PM Fri, Mar 8, 2024 Run4 .csv",4.669124557955286,1123.1988399353288,0.1479579589875009,662.0045366245814,0.5445989110865174,0.2922459997407864,0.1332499998813379,0.0211138010025024,0.0180077719688415,0.0015673417780673,3.4000226698334357,0.9114158368110634,0.0022133333333333,0,1.0,5.09078038007005,1284.5564621042995,0.2040108460240903,864.2510445309374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3,4.669124557955286,1123.1988399353288,0.1479579589875009,662.0045366245814,0.5445989110865174,0.2922459997407864,0.1332499998813379,0.0211138010025024,0.0180077719688415,0.0015673417780673,3.4000226698334357,0.9114158368110634,0.0022133333333333,0,1.0,5.09078038007005,1284.5564621042995,0.2040108460240903,864.2510445309374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
"MATLAB 12-27 PM Fri, Mar 8, 2024 Run5 .csv",4.77425433357644,1128.8477252703317,0.1531299896351995,679.9154388402819,0.2465703892018675,0.1997810809038911,0.1257499998891353,0.023900488615036,0.0169764983654022,0.0020190948688254,5.000033337990346,1.318774693012234,0.00326,0,1.0,5.141335984312883,1313.388024279609,0.2078203262085451,869.500367137329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3,4.77425433357644,1128.8477252703317,0.1531299896351995,679.9154388402819,0.2465703892018675,0.1997810809038911,0.1257499998891353,0.023900488615036,0.0169764983654022,0.0020190948688254,5.000033337990346,1.318774693012234,0.00326,0,1.0,5.141335984312883,1313.388024279609,0.2078203262085451,869.500367137329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
"MATLAB 12-31 PM Fri, Mar 8, 2024 Run6 .csv",4.899440211730049,1114.1083119127666,0.178528471540524,716.6473763371907,1.4640399320410151,0.6619599994139596,0.2390999997870793,0.0178169381618499,0.0159786367416381,0.0008500080157898,1.066673778771274,0.2565436053276055,0.0002066666666666,1,0.1875,5.189807944981576,1334.251883428469,0.2243560311100096,903.7229454197084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3,4.899440211730049,1114.1083119127666,0.178528471540524,716.6473763371907,1.4640399320410151,0.6619599994139596,0.2390999997870793,0.0178169381618499,0.0159786367416381,0.0008500080157898,1.066673778771274,0.2565436053276055,0.0002066666666666,1,0.1875,5.189807944981576,1334.251883428469,0.2243560311100096,903.7229454197084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
"MATLAB 12-38 PM Fri, Jun 28, 2024 Run2 .csv",5.46948659277753,1473.4249013305714,0.366580278553541,1085.0945842573522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.726697591854679,1277.6432882874335,0.1927577029895437,771.457762955218,1.4891215138308662,2.4281749978509106,2.4733499978083158,0.0339144444465637,0.0244177317619323,0.0051049210587894,0.5000050004925916,0.125129791498184,0.00016,0,1.0,0,0.0,0.0,3,5.46948659277753,1473.4249013305714,0.366580278553541,1085.0945842573522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.726697591854679,1277.6432882874335,0.1927577029895437,771.457762955218,1.4891215138308662,2.4281749978509106,2.4733499978083158,0.0339144444465637,0.0244177317619323,0.0051049210587894,0.5000050004925916,0.125129791498184,0.00016,0,1.0,0,0.0,0.0
"MATLAB 12-42 PM Fri, Jun 28, 2024 Run4 .csv",5.549271425386869,1454.055560002842,0.4078180409102094,1123.1738961538622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.001561689621582,1240.76969458423,0.234574845334432,821.8828959574387,1.8994499983183464,2.0480499981860185,2.0480499981860185,0.0380601000785827,0.0208143782615661,0.0095595471650326,0.3000030002955549,0.0745941722393034,0.00019,0,1.0,0,0.0,0.0,3,5.549271425386869,1454.055560002842,0.4078180409102094,1123.1738961538622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.001561689621582,1240.76969458423,0.234574845334432,821.8828959574387,1.8994499983183464,2.0480499981860185,2.0480499981860185,0.0380601000785827,0.0208143782615661,0.0095595471650326,0.3000030002955549,0.0745941722393034,0.00019,0,1.0,0,0.0,0.0
