name,cluster,match_name,file_name,a0_spectral_entropy,a0_spectral_centroid,a0_spectral_flatness,a0_spectral_bandwidth,a0_std_dev_time_diff,a0_mean_time_diff,a0_median_time_diff,a0_peaks_per_second,a0_percent_time_above_threshold,a0_num_boilings,a0_unused_peak_proportion,a0_skewness,a0_kurtosis,a0_crest_factor,a0_burstiness,a0_spectral_flux,a0_low_band_power,a0_mid_band_power,a0_high_band_power,a0_high_to_low_ratio,a0_mean_spectral_entropy_time,a0_var_spectral_centroid_time,a0_wavelet_energy_low_scale,a0_wavelet_energy_mid_scale,a0_wavelet_energy_high_scale,a0_regime_dominance,a0_rms_change_points,a0_skew_peak_magnitude,a0_kurtosis_peak_magnitude,a0_iqr_peak_magnitude,a1_spectral_entropy,a1_spectral_centroid,a1_spectral_flatness,a1_spectral_bandwidth,a1_std_dev_time_diff,a1_mean_time_diff,a1_median_time_diff,a1_peaks_per_second,a1_percent_time_above_threshold,a1_num_boilings,a1_unused_peak_proportion,a1_skewness,a1_kurtosis,a1_crest_factor,a1_burstiness,a1_low_band_power,a1_mid_band_power,a1_high_band_power,a1_high_to_low_ratio,a1_mean_spectral_entropy_time,a1_var_spectral_centroid_time,a1_spectral_flux,a1_wavelet_energy_low_scale,a1_wavelet_energy_mid_scale,a1_wavelet_energy_high_scale,a1_regime_dominance,a1_rms_change_points,a1_skew_peak_magnitude,a1_kurtosis_peak_magnitude,a1_iqr_peak_magnitude,num_peak_mag_high_diff,peak_mag_correlation,subcluster
Calm_to_Boiling_50V_on_StartT65.csv,2,Calm_to_Boiling_50V_on_StartT65.csv,Calm_to_Boiling_50V_on_StartT65.csv,3.840602864492288,1960.6718728902304,0.0515946288889593,2179.760527211787,0.0430592348664388,-0.4012350807123268,-0.3303568417330637,20.42413570838361,0.0049821774732408,2.155820212545436,0.0,-0.0455803797299315,0.7057357854512674,5.298585535743604,1.215204475048426,9.329993087138891e-15,0.0068176119550489,0.0592444039288897,0.9339118668569169,-1196.669019119768,3.3770993942135874,111148.5122078792,66.67232587527603,185.86980883450096,52.285255685189234,0.0220545560069645,-1.167341978213873,0.8232669624889766,0.1513812846948417,0.0050031226873397,4.361142267440104,2425.287461405203,-0.2439092499728445,2664.815448758566,0.0716721598350305,-0.3697493064137171,-0.3075848669558513,8.907588700818298,0.0010975526101173,2.207040707046489,0.0112359550561797,-0.0162923468465586,0.6914501025401032,7.021836763948618,1.150557673692412,0.0057761317327336,0.0519950705744546,0.9422077119154724,163.12088357956554,3.729321439500029,183202.82090138493,1.0153167838733904e-15,27.882221940607515,51.91521268481164,15.914282617927716,0.0404411764705882,-0.9239241945852212,2.525236229073597,9.673339479679074,0.0026530396938324,6,0.1403497841423732,1
"MATLAB 1-02 PM Thu, Nov 7, 2024 Run8 .csv",2,"MATLAB 1-02 PM Thu, Nov 7, 2024 Run8 .csv","MATLAB 1-02 PM Thu, Nov 7, 2024 Run8 .csv",5.700523466214685,2294.871845438176,0.2601321043988069,1356.9178434613618,0.000944933859495,-0.2060629519050372,-0.1230119282696145,1.3550354094918493,0.0004,0.1528325921487296,0.0,1.5285514573324797,58.05735517788983,17.777887562975184,0.0040071831573368,1.6762173189186158e-11,0.0001796046586576,0.0001720823514029,0.9991079887529378,4192.9483621892905,2.5738513181212137,457622.5399895293,14.752301235465987,0.0563930759478273,0.106560644675062,1.0,-0.1782904995024012,-0.4052563421635066,-1.058759462362168,0.0387733173370361,5.308989046859168,2144.0924624139006,-0.0944571182326501,1207.4333525905374,0.0012130436916114,-0.2019340060468296,-0.1134015346788038,1.774512015602666,0.00052,0.2033459995813612,0.0,0.5924224765027378,32.97700477799756,12.948236092615607,0.0051455754848899,0.0001861116581055,9.598499436098652e-05,0.9990280117854176,5367.895928470295,2.4186048812789545,430587.02158378414,2.363179516398276e-11,17.91751299450009,0.0466936713917039,0.0698648367790605,1.0,0.064025905560085,-0.3270751493357315,-0.923031762092128,0.0180765235424042,0,-0.5879004306974205,4
"MATLAB 1-12 PM Thu, Nov 7, 2024 Run9 .csv",2,"MATLAB 1-12 PM Thu, Nov 7, 2024 Run9 .csv","MATLAB 1-12 PM Thu, Nov 7, 2024 Run9 .csv",5.632734954703723,2219.356500154379,0.2422642592202483,1361.1591295752792,0.001526229011616,-0.2344562213444213,-0.1540021009186256,1.6104740110985358,0.0004,0.1468573513553178,0.0,0.7014451415491838,49.50016549623467,15.54669688072016,0.0070066751427447,1.956995707051097e-11,0.0001473785950866,0.0001603812121189,0.99910955564306,5336.904122256612,2.371240132687473,341763.19337257947,6.075090090592648,0.0197514367524483,0.0383251137897717,1.0,-1.200187542079458,-0.2211635974477234,-1.8491075866065616,0.0486015796661376,5.512061504986173,2229.4356448898766,-0.0776159775312406,1230.437858798969,0.0010243900615248,-0.2311765867241186,-0.1453048697078956,2.0200053700670826,0.00045,0.1959565846511044,0.0,0.0683401489313396,31.576606288259683,12.40336216729875,0.0047038919179543,0.000147679333869,7.50542077684034e-05,0.9990274036146608,6764.842293375229,2.114355601251618,371843.63077761134,2.2644998975762363e-11,6.707033520078976,0.0164755968168894,0.0304530825889372,1.0,-0.9600738941493026,0.1499109454272645,-1.4177103729972167,0.0176768648624419,0,-0.9613666164854772,4
"MATLAB 1-17 PM Tue, Sep 10, 2024 Run11 .csv",2,"MATLAB 1-17 PM Tue, Sep 10, 2024 Run11 .csv","MATLAB 1-17 PM Tue, Sep 10, 2024 Run11 .csv",5.968856521020376,2598.534220024597,0.3391543446318617,1233.1860991820956,0.0963450457881872,-0.246967270959512,-0.1245471872835105,1.8379215460799183,0.005075,0.1438697309586118,0.3263157894736842,-0.6438752742427393,29.50022129662332,13.449113105326653,0.4576568603359611,4.0155273204746994e-11,0.0009918176835685,0.0003462152072055,0.9978154245426972,-472.4678280621305,3.800468182842667,855300.695499447,71.002855821061,1.052627827942372,1.4993885287197406,1.0,6.788863936632014,0.546991495613493,2.8244802009052457,0.0321660983562469,5.787063791581461,2402.265935531891,-0.0569447218586797,1089.5998042304984,0.0985846253210897,-0.2605751319518893,-0.1409315372401822,2.6424822818424687,0.00527,-0.8077381228140239,1.0,0.4527385169345662,28.55933986755394,12.364137507081946,0.5081347895923005,0.0007356784995826,5.169982043130167e-05,0.9988724861628124,1357.756801006858,3.774130521478343,728346.730293468,8.166289824501976e-11,88.98291153144889,0.498739482319314,0.9718564206378296,0.0,7.027876205996003,-0.9052964821096,-0.4364633539401197,0.0732184982299805,1,-0.0453966280383336,4
"MATLAB 1-19 PM Tue, Sep 10, 2024 Run12 .csv",2,"MATLAB 1-19 PM Tue, Sep 10, 2024 Run12 .csv","MATLAB 1-19 PM Tue, Sep 10, 2024 Run12 .csv",5.962456590772573,2603.7027815089427,0.3351846125041344,1220.9347556522332,0.0713818478623058,-0.199476258000008,-0.0971642391088836,0.9245063227883304,0.004055,0.1420771587205883,0.0259740259740259,-1.1498893015298872,56.025063114174266,17.60857138456694,0.2733558622569702,2.2919865525585074e-11,0.0019921404450408,0.0002824307266135,0.9967511244038691,-999.902381274064,3.451940235190866,875821.3426028661,38.70979761789985,0.5035509388983721,0.7960550141200107,1.0,0.7822948238588965,-1.2091205971076036,3.1650223337551315,0.030158166885376,5.836837231475611,2451.691130540047,-0.0575387414838732,1109.3324093481535,0.0843699438499785,-0.2129190340192035,-0.0906775378004923,1.5760827342712722,0.00414,0.1900450527068991,0.573170731707317,0.7211051664449383,54.58968932987423,16.73729264516978,0.344295986110996,0.0024625743380426,2.2451584222011923e-05,0.9971924152632948,404.9390103106165,3.3628849847596296,828139.5384349199,4.499078851681412e-11,47.37350661486993,0.215968210855714,0.5755504741572668,1.0,1.0206462660831874,-0.6006065171605028,-0.6490857798097798,0.1060762888193131,0,0.1052788444696026,4
"MATLAB 1-21 PM Thu, Nov 7, 2024 Run10 .csv",2,"MATLAB 1-21 PM Thu, Nov 7, 2024 Run10 .csv","MATLAB 1-21 PM Thu, Nov 7, 2024 Run10 .csv",5.381934030771023,2139.310338336899,0.2233793238359952,1338.2130763177963,0.0010924602444239,-0.3307588890984642,-0.2527812907751955,4.561451372200382,0.00075,2.1402845864825646,0.0,0.2316090313685962,21.39657282890687,9.652680265982069,0.0082157517380139,3.920944070024574e-11,0.0001241922648279,9.723163965974004e-05,0.9991456692917852,6523.178871868957,3.058056247299001,402870.9635030349,9.067314704504472,0.0261189305593967,0.0506102517527614,0.2051282051282051,-1.2242742889142204,0.5437164624947242,-1.1632514109633112,0.0166921752691268,5.382569160598576,2276.4005155998366,-0.1140069284273075,1134.841833423479,0.0045681684763507,-0.3284942825540715,-0.2458235381813094,4.960042959312432,0.0014,2.187828228227822,0.0,0.0005629346585124,15.323513627592074,8.50431059393826,0.0343840638309553,0.0001425239612513,3.6540403638884936e-05,0.9991869723656636,7010.659566245002,2.780196284418904,553619.5318114264,4.7362127483072856e-11,8.907428834343937,0.0293758576009555,0.0500124757054565,0.6842105263157895,-0.9865836738296287,-0.172598065938515,-1.5553837088804188,0.0289916390180587,0,-0.7434722301006569,0
"MATLAB 1-25 PM Thu, Nov 7, 2024 Run11 .csv",2,"MATLAB 1-25 PM Thu, Nov 7, 2024 Run11 .csv","MATLAB 1-25 PM Thu, Nov 7, 2024 Run11 .csv",5.257913498427458,2052.796226337274,0.217676264444999,1299.798760222984,0.020926787834068,-0.3971462170490757,-0.3239263770502247,10.839001160422796,0.0044,2.137296966085859,0.0,0.0288790766579007,8.117323897422063,9.530536463003578,0.2915072054196006,1.2522703309172149e-10,0.0001142275375226,8.499538004076848e-05,0.9992470764168802,7189.676478658065,4.203266851904787,299788.21001942,46.1464752417708,0.1200149069530625,0.2345829453297315,0.1231884057971014,-0.2352228102027489,0.9537975882061596,1.09886847518802,0.0463314926624298,5.5127576848602695,2305.2997797821004,-0.0968662121236598,1142.8376260128937,0.0229695532294401,-0.3931725641902051,-0.3177002056460488,10.832612123449632,0.00696,2.184133520762693,0.0,-0.0009253776539106,6.067946681433044,7.756751269639556,0.3111766727872752,0.0001123175961002,3.200614306125861e-05,0.9990936811594988,8895.255203533834,4.350856046209212,462909.0487274608,7.712324671258553e-11,41.98001130225275,0.1346401084884059,0.2591220551327095,0.0974930362116991,0.0013664263156774,-0.4335962070943985,-0.4728968244165172,0.0335828948020935,4,0.3239405361118686,1
"MATLAB 1-29 PM Thu, Nov 7, 2024 Run12 .csv",2,"MATLAB 1-29 PM Thu, Nov 7, 2024 Run12 .csv","MATLAB 1-29 PM Thu, Nov 7, 2024 Run12 .csv",5.281036348782035,2103.271139742919,0.2118538538391066,1326.2743370409603,0.0215868440285228,-0.4096631831714679,-0.3374934288412881,14.027014605297662,0.0094,2.1355043938478357,0.0,-0.0796768216442584,4.8003357919981005,6.00912057567984,0.3459776667959343,1.265787134774853e-10,0.0001236732169997,7.110206990506321e-05,0.9990466456193232,6498.198787657619,4.5622296712967625,192123.4301435968,11.998591743501228,0.0316090669741259,0.0627783745421649,0.2051282051282051,-1.2417919229758658,-0.2909115833656538,-1.1386661340755064,0.0444636344909668,5.577481925476137,2370.9350095239865,-0.0998071144948846,1155.699355941651,0.007414513723298,-0.4184852793675773,-0.3405462061428396,17.417950027357172,0.0066,2.1819166962836167,0.0,-0.0298240049530529,4.069315401016897,6.902329813281178,0.1429050120384258,0.0001166835765009,2.5094996189604604e-05,0.9990135109330284,8561.732001115932,4.941593279108992,274994.2709195808,1.1129614133433297e-10,10.743771096848343,0.0410208966308913,0.0758315048695171,0.1186440677966101,-1.005863513597139,-0.0237437168451669,-0.0237711047844939,0.0249881449341774,0,0.2593928056778546,1
"MATLAB 1-30 PM Tue, Sep 10, 2024 Run16 .csv",2,"MATLAB 1-30 PM Tue, Sep 10, 2024 Run16 .csv","MATLAB 1-30 PM Tue, Sep 10, 2024 Run16 .csv",5.943819102279006,2604.5772640142254,0.3049750418605128,1189.598687264497,0.1992156151472543,0.0719114125079914,0.2022785361424723,-1.1336168097408137,0.00324,0.1343093456891528,0.1621621621621621,-1.4463426815353364,127.19479552856116,29.332484926385018,0.3648303549567288,1.2344392872372239e-11,0.0002106828892019,0.0002201454247949,0.998349489296646,3144.232116615492,4.30108918805649,559703.9874465184,16.184783098759006,0.176334418157944,0.3009312055261215,1.0,0.7538286685087228,-0.6809848311619182,1.5903196830935151,0.0293851935863494,5.866089096450061,2528.2264303292213,-0.0998682603102537,1132.1876032933303,0.1987959971216083,0.0734009935286987,0.207973126357092,-0.744970469771034,0.002535,1.1804388132975654,0.3243243243243243,0.964770951930592,116.82155641975484,24.348076394994976,0.3640785628828408,9.062232113470944e-05,4.676227387767763e-06,0.9994691375240018,11028.950980391442,3.933720930956624,674470.4288976527,2.4045238640857024e-11,19.924043819515123,0.0801760332656687,0.2251339661958442,0.7666666666666667,0.9893165264609836,-0.4707835373279518,-0.6042175358151978,0.0893243575096131,0,0.3400331767942799,2
"MATLAB 1-31 PM Tue, Oct 29, 2024 Run7 .csv",2,"MATLAB 1-31 PM Tue, Oct 29, 2024 Run7 .csv","MATLAB 1-31 PM Tue, Oct 29, 2024 Run7 .csv",5.7024668299712165,2228.0870504441787,0.2685828859481679,1288.6824700317752,0.0150805366717456,-0.1168492937892599,-0.0358604809131134,-0.1880869664000219,0.0003866666666666,0.1337118216098116,0.0,0.6108894868643309,93.14314502131334,19.15870305860564,0.0420855959997613,3.137912549009662e-11,0.0001793725342033,0.0001549141183453,0.9993542230529476,3969.742565680184,4.339070827553885,527620.2615312,60.0129268082407,0.288227428450593,0.4859367221649878,1.0,9.751638964251017,-0.5869362930339933,0.059309444512372,0.011862216591835,5.8723817031464005,2535.182632841466,-0.0459522299553901,1115.7030388091737,0.0153968923279958,-0.1154681318441298,-0.0303922069363294,0.1995648488555303,0.0005533333333333,0.1796998718045396,0.0,-0.4160986713497284,65.88189100303155,17.02883079739847,0.0429740921180127,0.0001655077502725,3.991447266395643e-05,0.9994296029382086,6038.5667818703205,3.871744156388832,657073.0789447617,2.9756719110698494e-11,53.79359099908057,0.2480793553845338,0.5481666556533531,1.0,6.986906546490045,-0.3310628856529078,-1.3037201374802043,0.0636366492509842,6,0.553570067064734,4
