file_name,a0_spectral_entropy_x,a0_spectral_centroid_x,a0_spectral_flatness_x,a0_spectral_bandwidth_x,a0_std_dev_time_diff_x,a0_mean_time_diff_x,a0_median_time_diff_x,a0_max_peak_x,a0_median_peak_x,a0_std_peak_x,a0_peaks_per_second_x,a0_sum_peak_magnitude_x,a0_percent_time_above_threshold_x,a0_num_boilings_x,a0_unused_peak_proportion_x,a1_spectral_entropy_x,a1_spectral_centroid_x,a1_spectral_flatness_x,a1_spectral_bandwidth_x,a1_std_dev_time_diff_x,a1_mean_time_diff_x,a1_median_time_diff_x,a1_max_peak_x,a1_median_peak_x,a1_std_peak_x,a1_peaks_per_second_x,a1_sum_peak_magnitude_x,a1_percent_time_above_threshold_x,a1_num_boilings_x,a1_unused_peak_proportion_x,num_peak_mag_high_diff_x,avg_peak_mag_diff_x,peak_mag_correlation_x,cluster_spectral,a0_spectral_entropy_y,a0_spectral_centroid_y,a0_spectral_flatness_y,a0_spectral_bandwidth_y,a0_std_dev_time_diff_y,a0_mean_time_diff_y,a0_median_time_diff_y,a0_max_peak_y,a0_median_peak_y,a0_std_peak_y,a0_peaks_per_second_y,a0_sum_peak_magnitude_y,a0_percent_time_above_threshold_y,a0_num_boilings_y,a0_unused_peak_proportion_y,a1_spectral_entropy_y,a1_spectral_centroid_y,a1_spectral_flatness_y,a1_spectral_bandwidth_y,a1_std_dev_time_diff_y,a1_mean_time_diff_y,a1_median_time_diff_y,a1_max_peak_y,a1_median_peak_y,a1_std_peak_y,a1_peaks_per_second_y,a1_sum_peak_magnitude_y,a1_percent_time_above_threshold_y,a1_num_boilings_y,a1_unused_peak_proportion_y,num_peak_mag_high_diff_y,avg_peak_mag_diff_y,peak_mag_correlation_y
"MATLAB 1-38 PM Fri, Sep 13, 2024 Run1 .csv",4.989857433153853,1238.271212041231,0.9767257957491275,1592.9869493898293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.606751094611831,1077.408199168216,0.8689921493504071,1493.5849507946882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,7,4.989857433153853,1238.271212041231,0.9767257957491275,1592.9869493898293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.606751094611831,1077.408199168216,0.8689921493504071,1493.5849507946882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
"MATLAB 1-43 PM Fri, Jun 14, 2024 Run3 .csv",6.185301599460113,1986.0242011958685,0.5632680981165268,1805.061942745773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.361807701870195,1235.9902461022502,0.4267594720226892,1446.400480192039,0.0633093483353536,0.1260124998883443,0.104499999907406,0.0198370778560638,0.0173350346088409,0.0014987001832262,1.7000170016748113,0.2957384276390067,0.00216,3,0.0,0,0.0,0.0,7,6.185301599460113,1986.0242011958685,0.5632680981165268,1805.061942745773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.361807701870195,1235.9902461022502,0.4267594720226892,1446.400480192039,0.0633093483353536,0.1260124998883443,0.104499999907406,0.0198370778560638,0.0173350346088409,0.0014987001832262,1.7000170016748113,0.2957384276390067,0.00216,3,0.0,0,0.0,0.0
"MATLAB 1-43 PM Thu, Oct 31, 2024 Run2 .csv",5.720618072966664,2501.673763823273,0.6399971287936604,1647.3006309372945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.904640452581611,1929.718487897952,0.4898743046378433,1836.1253407203155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,7,5.720618072966664,2501.673763823273,0.6399971287936604,1647.3006309372945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.904640452581611,1929.718487897952,0.4898743046378433,1836.1253407203155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
"MATLAB 1-59 PM Tue, Oct 22, 2024 Run1 .csv",5.831079117998855,2857.58343345251,0.5962020620757638,1530.195833615521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.567552138958831,2043.327505939375,0.5859762659169211,1573.1551403424537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,7,5.831079117998855,2857.58343345251,0.5962020620757638,1530.195833615521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.567552138958831,2043.327505939375,0.5859762659169211,1573.1551403424537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
"MATLAB 11-23 AM Wed, Mar 6, 2024 Run1.csv",2.5894721609150126,520.7118714966764,0.3833874601812124,1459.8475193257204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.292387272899895,1380.4788591489362,1.0550094355945556,2310.83089047554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,7,2.5894721609150126,520.7118714966764,0.3833874601812124,1459.8475193257204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.292387272899895,1380.4788591489362,1.0550094355945556,2310.83089047554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
"MATLAB 11-25 AM Wed, Mar 6, 2024 Run2.csv",2.555908126581922,514.5508416287204,0.3740105188666104,1450.9462838959212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.2681095642515565,1371.352353142004,1.029542991053255,2299.830298707792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,7,2.555908126581922,514.5508416287204,0.3740105188666104,1450.9462838959212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.2681095642515565,1371.352353142004,1.029542991053255,2299.830298707792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
"MATLAB 11-27 AM Wed, Mar 6, 2024 Run3.csv",2.618988882795157,546.7557107083994,0.382878762655004,1498.8187564809737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.395045251096308,1467.835153610636,1.034740876051657,2346.2626018125925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,7,2.618988882795157,546.7557107083994,0.382878762655004,1498.8187564809737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.395045251096308,1467.835153610636,1.034740876051657,2346.2626018125925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
"MATLAB 11-51 AM Tue, Mar 5, 2024 Run1 .csv",5.227292042509224,2787.2883225671567,0.239354750680792,1813.4147113066367,0.1972120512758362,0.146200147366272,0.0772499999366971,0.0232322490215301,0.01647274851799,0.0016658667215949,6.800006805884698,5.76556350231169,0.001092,3,0.0,5.596431359853221,3799.95037679038,0.3435854110870751,2294.012733664506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.000871924161911,0.0,7,5.227292042509224,2787.2883225671567,0.239354750680792,1813.4147113066367,0.1972120512758362,0.146200147366272,0.0772499999366971,0.0232322490215301,0.01647274851799,0.0016658667215949,6.800006805884698,5.76556350231169,0.001092,3,0.0,5.596431359853221,3799.95037679038,0.3435854110870751,2294.012733664506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.000871924161911,0.0
"MATLAB 12-31 PM Fri, Jun 28, 2024 Run0 .csv",4.911798684361679,1619.0460438125128,0.5718758862556934,1778.0214404998555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.48806193011521,757.528006284857,0.3269207177940335,1383.9217133943234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,7,4.911798684361679,1619.0460438125128,0.5718758862556934,1778.0214404998555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.48806193011521,757.528006284857,0.3269207177940335,1383.9217133943234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
"MATLAB 12-36 PM Tue, Oct 29, 2024 Run0 .csv",6.112774019947322,2658.415908292924,0.7120127416239167,1489.254653088882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.718779943059423,1968.199484760598,0.6202321565420438,1475.4407813853404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0094857895374298,0.0,7,6.112774019947322,2658.415908292924,0.7120127416239167,1489.254653088882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.718779943059423,1968.199484760598,0.6202321565420438,1475.4407813853404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0094857895374298,0.0
