subcluster,rank,feature,abs_z_mean_diff_vs_rest,cluster_z_mean,rest_z_mean
0,1,a1_spectral_entropy,1.820703516039793,-1.5475979886338247,0.27310552740596844
0,2,a0_spectral_entropy,1.7150088099441256,-1.4577574884525066,0.2572513214916191
0,3,a1_spectral_centroid,1.5561042439636026,-1.3226886073690618,0.23341563659454073
0,4,a1_wavelet_energy_low_scale,1.4490486511925047,1.2316913535136291,-0.2173572976788756
0,5,a0_crest_factor,1.3471349125298586,-1.1450646756503797,0.20207023687947884
0,6,a1_crest_factor,1.3288356780655965,-1.1295103263557569,0.1993253517098396
0,7,a0_wavelet_energy_low_scale,1.2912399927584173,1.0975539938446548,-0.1936859989137625
0,8,a0_spectral_centroid,1.2239893684188816,-1.0403909631560484,0.1835984052628333
0,9,a0_peaks_per_second,1.148854816470194,0.976526593999665,-0.172328222470529
0,10,a1_peaks_per_second,1.138431734797688,0.9676669745780346,-0.1707647602196533
1,1,a0_burstiness,1.5576721605621868,1.0792442826752293,-0.4784278778869575
1,2,a1_burstiness,1.451770155238463,1.0058693218437922,-0.44590083339467074
1,3,a0_num_boilings,1.4402904044850307,0.9979154945360567,-0.44237490994897394
1,4,a0_regime_dominance,1.3926544252750066,-0.9649105660833974,0.4277438591916093
1,5,a1_num_boilings,1.358766426398754,0.941431024004851,-0.41733540239390304
1,6,a1_regime_dominance,1.2884767969386437,-0.8927303521646316,0.395746444774012
1,7,a0_max_to_mean_peak_ratio,1.2587638423842515,0.8721435193662316,-0.38662032301802
1,8,a0_percent_time_above_threshold,1.1596811701907774,0.8034933822036102,-0.35618778798716727
1,9,a1_max_to_mean_peak_ratio,1.1548565877426835,0.800150635793145,-0.3547059519495386
1,10,a1_percent_time_above_threshold,1.1481090440597645,0.7954755519556941,-0.3526334921040704
2,1,a0_num_boilings,1.6690761734093635,-0.7630062507014235,0.9060699227079401
2,2,a1_num_boilings,1.583280136339732,-0.7237852051838773,0.8594949311558546
2,3,a0_regime_dominance,1.5814907895865042,0.7229672180966876,-0.8585235714898165
2,4,a0_peaks_per_second,1.4937176943023438,-0.6828423745382142,0.8108753197641295
2,5,a1_peaks_per_second,1.4660671120886701,-0.6702021083833921,0.7958650037052779
2,6,a1_regime_dominance,1.4484167750057748,0.6621333828597828,-0.786283392145992
2,7,a1_crest_factor,1.3310736151183569,0.6084907954826775,-0.7225828196356794
2,8,a1_kurtosis,1.2986813661301035,0.5936829102309045,-0.7049984558991991
2,9,a0_crest_factor,1.2724570730994578,0.5816946619883235,-0.6907624111111343
2,10,a0_kurtosis,1.229471473863947,0.5620441023378046,-0.6674273715261425
