file_name,is_noise,a0_spectral_entropy,a0_spectral_centroid,a0_spectral_flatness,a0_spectral_bandwidth,a0_std_dev_time_diff,a0_mean_time_diff,a0_median_time_diff,a0_peaks_per_second,a0_percent_time_above_threshold,a0_num_boilings,a0_unused_peak_proportion,a0_skewness,a0_kurtosis,a0_crest_factor,a0_burstiness,a0_spectral_flux,a0_low_band_power,a0_mid_band_power,a0_high_band_power,a0_high_to_low_ratio,a0_mean_spectral_entropy_time,a0_var_spectral_centroid_time,a0_wavelet_energy_low_scale,a0_wavelet_energy_mid_scale,a0_wavelet_energy_high_scale,a0_regime_dominance,a0_rms_change_points,a0_skew_peak_magnitude,a0_kurtosis_peak_magnitude,a0_iqr_peak_magnitude,a0_mean_peak_magnitude,a0_max_peak_magnitude,a0_std_peak_magnitude,a0_max_to_mean_peak_ratio,a1_spectral_entropy,a1_spectral_centroid,a1_spectral_flatness,a1_spectral_bandwidth,a1_std_dev_time_diff,a1_mean_time_diff,a1_median_time_diff,a1_peaks_per_second,a1_percent_time_above_threshold,a1_num_boilings,a1_unused_peak_proportion,a1_skewness,a1_kurtosis,a1_crest_factor,a1_burstiness,a1_spectral_flux,a1_low_band_power,a1_mid_band_power,a1_high_band_power,a1_high_to_low_ratio,a1_mean_spectral_entropy_time,a1_var_spectral_centroid_time,a1_wavelet_energy_low_scale,a1_wavelet_energy_mid_scale,a1_wavelet_energy_high_scale,a1_regime_dominance,a1_rms_change_points,a1_skew_peak_magnitude,a1_kurtosis_peak_magnitude,a1_iqr_peak_magnitude,a1_mean_peak_magnitude,a1_max_peak_magnitude,a1_std_peak_magnitude,a1_max_to_mean_peak_ratio,num_peak_mag_high_diff,peak_mag_correlation,match_name,Label,subcluster
"MATLAB 1-00 PM Fri, Jun 28, 2024 Run8 .csv",0,5.439864168409741,1910.8551324977448,0.2831755060803294,1009.3886347724484,0.015709584008901,0.0146796822970439,0.0766026574951669,1.4994102343325817,0.00462,0.4981595784935967,0.0,-0.0875180732254218,33.72229074799877,12.370524718667596,0.051611092180599,2.0486961659128306e-12,0.0022832371976872,0.1546506349596721,0.8428797912125521,-937.6215984448704,4.180224957522514,349147.0799978815,6.513067391474481,15.56891581424103,0.4365614968249166,1.0,1.1336553493284025,-1.6918619311208725,3.0253604018525806,0.0119602036476134,0.0901452601328491,0.1052580165863037,0.0140274691613912,1.1676489305281552,4.9313795265334495,1623.1168089103896,0.049122128672631,815.8675751355788,0.0161541604113079,0.019323897261253,0.0814384657335348,1.4800303681472686,0.00381,0.4892203883196385,0.0,0.2087149042448044,40.429871898667045,11.74116783906958,0.0531161405593685,9.515793339179987e-11,0.0005941052617076,0.0820838077016965,0.9171855563238596,1543.809852293748,3.888325518398002,259564.5400842444,29.86937761771782,32.05001037372243,0.3062146328714271,1.0,1.2479183877468,-2.207885803305541,4.406211679123996,0.014798936843872,0.1837740203365683,0.2083166253566742,0.0216455144677177,1.133547739637833,0.0,0.7139976015080887,"MATLAB 1-00 PM Fri, Jun 28, 2024 Run8 .csv",1.0,1
"MATLAB 1-25 PM Thu, Nov 7, 2024 Run11 .csv",0,5.257913498427458,2052.796226337274,0.217676264444999,1299.798760222984,0.020926787834068,-0.2492146225430539,-0.1963680209680607,11.891397808263214,0.0044,2.4568504089844354,0.0,0.0288790766579007,8.117323897422063,9.530536463003578,0.2915072054196006,1.2522703309172149e-10,0.0001142275375226,8.499538004076848e-05,0.9992470764168802,7229.721824008902,4.203266851904787,299788.21001942,46.1464752417708,0.1200149069530625,0.2345829453297315,0.1231884057971014,0.0533533206885018,0.9537975882061596,1.09886847518802,0.0463314926624298,0.1605302123228708,0.2771960639953613,0.031172362270265,1.7267532384361577,5.5127576848602695,2305.2997797821004,0.0854610106805274,1142.8376260128937,0.0229695532294401,-0.2424104424800876,-0.1895676882126177,11.473632129891776,0.00696,2.447907296184942,0.0,-0.0009253776539106,6.067946681433044,7.756751269639556,0.3111766727872752,7.712324671258553e-11,0.0001123175961002,3.200614306125861e-05,0.9990936811594988,8895.255203533834,4.350856046209212,462909.0487274608,41.98001130225275,0.1346401084884059,0.2591220551327095,0.0974930362116991,0.1712153680352683,-0.4335962070943985,-0.4728968244165172,0.0335828948020935,0.1558286397848556,0.2039480090141296,0.0235618584134231,1.3087966967799365,4.0,0.3239405361118686,"MATLAB 1-25 PM Thu, Nov 7, 2024 Run11 .csv",2.0,1
"MATLAB 1-29 PM Thu, Nov 7, 2024 Run12 .csv",0,5.281036348782035,2103.271139742919,0.2118538538391066,1326.2743370409603,0.0215868440285228,-0.2618469012122449,-0.2099236084086066,15.071278205885442,0.0094,2.452577046621419,0.0,-0.0796768216442584,4.8003357919981005,6.00912057567984,0.3459776667959343,1.265787134774853e-10,0.0001236732169997,7.110206990506321e-05,0.9990466456193232,6538.108266925583,4.5622296712967625,192123.4301435968,11.998591743501228,0.0316090669741259,0.0627783745421649,0.2051282051282051,-0.9549537857225224,-0.2909115833656538,-1.1386661340755064,0.0444636344909668,0.1525299582060645,0.1958314681053161,0.0269191385412728,1.2838885580808472,5.577481925476137,2370.9350095239865,0.0815040655746298,1155.699355941651,0.007414513723298,-0.2675917757808153,-0.2120579800049141,18.053988373275008,0.0066,2.443633528033077,0.0,-0.0298240049530529,4.069315401016897,6.902329813281178,0.1429050120384258,1.1129614133433297e-10,0.0001166835765009,2.5094996189604604e-05,0.9990135109330284,8561.732001115932,4.941593279108992,274994.2709195808,10.743771096848343,0.0410208966308913,0.0758315048695171,0.1186440677966101,-0.8367194271073038,-0.0237437168451669,-0.0237711047844939,0.0249881449341774,0.1562072697281837,0.2081816923618316,0.0221190955309408,1.332727297033541,0.0,0.2593928056778546,"MATLAB 1-29 PM Thu, Nov 7, 2024 Run12 .csv",2.0,1
"MATLAB 1-32 PM Thu, Nov 7, 2024 Run13 .csv",0,5.50295986404006,2239.850190475572,0.232702978872454,1347.779721859354,0.0218175113340058,-0.2426304363502781,-0.174764391709643,10.042053125153098,0.0038,2.4468792301373967,0.0833333333333333,-0.1314144056381244,4.344174568734618,6.316085576180012,0.2539067127451326,8.778922747966141e-11,7.50173673934009e-05,7.683773984553082e-05,0.9989702273142328,11747.357906494968,4.943861133414779,140709.79759994213,9.954327577215327,0.03122843746195,0.0640247614447347,0.2727272727272727,-0.966029927603888,-0.4227540756008033,-0.1118096250805122,0.0070910501480102,0.150213513970375,0.1733150064945221,0.0146512932106575,1.153791039924032,5.704498160478998,2492.183645318192,0.0941405188532801,1122.6611113551128,0.0194605985850417,-0.2561812713341965,-0.2016950357637549,13.02498704265686,0.0052,2.437935170497257,0.0,-0.0049845207026435,3.3559640332657885,5.403691353772816,0.2877570558005649,7.542242769903977e-11,9.477424117214788e-05,2.5220095452232397e-05,0.9990859382626284,10541.7455830418,5.154707176296375,175874.46637695865,8.67446848757896,0.037972914014831,0.0773008932458963,0.1555555555555555,-0.8472991539640669,0.0110725046962675,-0.4284178264956702,0.0187415504455566,0.150017604112625,0.1836418783664703,0.0177151022103496,1.2241355236456246,1.0,-0.5194959566929782,"MATLAB 1-32 PM Thu, Nov 7, 2024 Run13 .csv",,1
"MATLAB 1-41 PM Tue, Oct 29, 2024 Run10 .csv",0,5.445027475842302,2044.1154501474236,0.2322207719799222,1253.466133869605,0.0539734251003346,-0.1789822160119832,-0.1282367415601448,4.154801923585527,0.00132,2.42978578068533,0.2580645161290322,0.0798307701239103,45.68336599320634,16.63044331156662,0.3320896579932181,4.694909000784619e-10,0.0001681234490956,0.0001270908967568,0.9992185332450724,4286.740636808796,3.3052264036169605,425857.47363197856,29.879336155181917,0.1202820951239193,0.1949208746603769,0.1794871794871795,0.0007416467520152,2.7110488552502408,6.227391710768494,0.0217383480072022,0.2333290364665369,0.4127240490913391,0.0481921120583018,1.7688499268736757,5.885980327680798,2488.1841375182903,0.1284922401830547,1149.3637841814457,0.0544521425481182,-0.1744614121716203,-0.1215562030833516,4.138107058770618,0.00124,2.420840097889797,0.1290322580645161,-0.1173331989460667,26.519460009308727,13.877188057281543,0.3353997080155131,8.830585624165905e-11,9.670297833529854e-05,3.079540213588853e-05,0.999382055228168,10334.553003765895,3.279008031362307,578533.4457161567,22.14876684920528,0.0923362525339222,0.2106365949949673,0.1746031746031746,0.1209616654656443,0.6768019521140842,0.6084570491351342,0.0557800149917602,0.214914931712612,0.3346203339099884,0.0398375595616116,1.556989694682771,2.0,0.4222049900744404,"MATLAB 1-41 PM Tue, Oct 29, 2024 Run10 .csv",7.0,1
"MATLAB 1-43 PM Tue, Oct 29, 2024 Run11 .csv",0,5.580144545962247,2148.9234294218354,0.2449875987811484,1313.2175172915097,0.0559287076861512,-0.1822027736234137,-0.137742329003795,4.133165151554309,0.00417,2.425512418322313,0.1854838709677419,0.0699276666798736,40.5318384023922,17.183939466620032,0.3440837022895258,2.3315981699961003e-10,0.0001578002560029,0.0001299445418393,0.9990279202142668,4652.478700305983,3.416674347524641,418356.4419368439,114.27278754939464,0.4961101380292895,0.7864941192447513,0.1183431952662721,2.992434540340991,2.959588355393976,11.871715472606816,0.0228081738948822,0.2276804428331313,0.4126848542690277,0.0347932276745139,1.8125617164733263,5.866262945033999,2497.334793538696,0.1243006111127048,1169.8222314749617,0.0573236765039002,-0.1801186045011799,-0.1323964948870188,4.216638599416335,0.006545,2.416566329737932,0.119047619047619,-0.109433400474972,24.385431048520157,12.375696121345916,0.3584002105422086,7.069372193068567e-11,0.0001067606443461,2.828827177949026e-05,0.999286165476956,9360.0612060503,3.347422708299493,588772.3213571894,92.35936589310424,0.3690126211892385,0.875001120826389,0.1405405405405405,4.113026870323072,-0.2267945918955375,-0.5572091715355336,0.057545870244503,0.2144271012147267,0.3035902428627014,0.0361612194881759,1.4158203004324854,6.0,0.145045680269313,"MATLAB 1-43 PM Tue, Oct 29, 2024 Run11 .csv",6.0,1
"MATLAB 1-45 PM Tue, Oct 29, 2024 Run12 .csv",0,5.565582953036417,2140.106968965649,0.2493127310871311,1313.852111070098,0.059705860706066,-0.187416579434552,-0.1476831122662194,4.104440125257421,0.00254,1.419814601838291,0.8306451612903226,0.0488187903747711,39.75460465236528,18.018206965894937,0.3693591820670469,1.9539559273505782e-10,0.0003180108482234,0.0001379235204251,0.9987581810223684,1433.0020923928723,3.5186482737245046,496771.9318942352,115.85680871149944,0.5017888585319448,0.8393869881236411,0.5217391304347826,3.9813583984596255,3.372971048738331,13.158126501859796,0.0203948009014129,0.2279100413764676,0.446060209274292,0.0397152171413027,1.9571766411883464,5.890918774390852,2498.288275268972,0.1480195093521071,1181.0570882165612,0.0590841147303881,-0.1840521125561256,-0.1373835506315603,4.1381370731880045,0.00218,2.410867972202112,0.208,-0.0592702487190374,23.687159977335423,11.108370275353137,0.3684845157611595,6.223761723260184e-11,0.0005379795172081,3.12700899667919e-05,0.9987621893202682,1856.505977222628,3.5087821949116687,643202.3436119158,92.52113840167578,0.3574838900187662,0.9842514413775278,0.2080536912751678,3.102447143466309,-0.3704833123018631,-1.0698393549639993,0.061972154378891,0.2143748341083526,0.2711118710041046,0.0364353651881229,1.2646627675852804,5.0,-0.1396588613322003,"MATLAB 1-45 PM Tue, Oct 29, 2024 Run12 .csv",6.0,1
"MATLAB 1-51 PM Tue, Oct 29, 2024 Run13 .csv",0,5.629095667631356,2154.0332285775585,0.2444617307354349,1311.166884465953,0.0660729364254938,-0.176011422395138,-0.1164238955631262,3.475712098412825,0.001575,1.4141167853542689,0.0535714285714285,-0.2335230500131991,46.78776595212256,19.141702988820576,0.3725160478332587,1.4451125909695682e-10,0.0001596074073897,0.0001091917098582,0.9991697867648638,4523.378686802065,3.5847329047459424,416761.2181148822,102.7192171205128,0.4016844483437142,0.6762284783393762,0.7204301075268817,1.97028225657826,3.83094111223123,17.479582635282366,0.0141769599914551,0.2191358764469623,0.3988073170185089,0.0300831389079072,1.819908832294892,5.909881929913928,2539.288495974113,0.1224081496145878,1199.2481352739503,0.0672635338564153,-0.1713727606432549,-0.1061706064097158,3.4596325464119664,0.0018,1.405169614666291,0.0267857142857142,0.057726093237978,28.182558015063133,15.14832490999192,0.3792555476664743,5.202777960759448e-11,0.0001303816494051,1.8267968064216303e-05,0.9993207023099084,7664.580919700765,3.452343455900933,587525.0104216643,83.58742349232628,0.2999461149468078,0.8138504361208008,0.7263157894736842,2.091867416609546,0.0499616343672058,-0.0126844794983389,0.0630241498351097,0.2215835563838482,0.3513629484176636,0.0362266132507916,1.5856905365712208,2.0,0.4978667402484103,"MATLAB 1-51 PM Tue, Oct 29, 2024 Run13 .csv",6.0,1
"MATLAB 12-54 PM Fri, Jun 28, 2024 Run7 .csv",0,5.16088983664613,1767.1661101613672,0.177816929381863,819.2116984942593,0.0723922326564192,-0.168510795751744,-0.1450208404044533,1.4376674462140713,0.00211,0.3272250839729298,0.1,0.3429284310616122,28.399699664687983,11.225531058918298,0.2887544951264895,2.2185228827515347e-12,0.0021331902046413,0.1474241993865237,0.8503738466169692,-1782.741775792171,4.22078665319286,249313.7940927861,5.998589939992045,16.525461205536967,0.4400605329237172,1.0,-1.1986289071125655,-1.6022260876770191,2.205166088180845,0.0053401339054108,0.0839883519113063,0.0938169836997986,0.0075414437477047,1.1170237487082912,4.840243686611644,1581.265866527391,-0.0274259912815925,704.6307016519332,0.0665255648202927,-0.1575181966270719,-0.1386732065621916,1.324999083356249,0.00255,0.3182696622450336,0.0,0.429339928606724,40.55813645173165,11.481094755960523,0.2585498814020591,6.310180932521249e-11,0.0006617656677765,0.0889327078957559,0.910353855754172,1375.6438269348153,4.01409559598853,203313.156636515,25.839666312290905,34.40070893763747,0.3161808335226306,1.0,-1.069473417956089,-0.8300376533715942,0.095803415846043,0.019456695318222,0.1664434407613216,0.19297602891922,0.0155276158346014,1.1594090343034056,2.0,0.3715522386802022,"MATLAB 12-54 PM Fri, Jun 28, 2024 Run7 .csv",2.0,1
"MATLAB 2-13 PM Thu, Oct 31, 2024 Run7 .csv",0,5.693990716356767,2522.7005068568697,0.2147835653450098,1367.02532710365,0.0111901901903537,-0.3878695361627823,-0.3595174980072943,12.194214769542857,0.00235,2.278793643858741,0.0333333333333333,-0.4737042761025545,14.87430728020182,12.434664393009491,0.1644615425743917,2.1279342918350438e-11,5.244030009359948e-05,3.925253402650797e-05,0.998341827061143,16608.49882662441,4.499007667650253,338086.98592231027,5.388255406513214,0.0240934921602982,0.0530865761107451,0.1358024691358024,-1.292776113104173,4.43944234703983,20.036359514609977,0.0082175800204276,0.1125292344093322,0.2086905825138092,0.018762642413002,1.8545454753089663,6.004796354580255,2996.6226388071977,0.0769823407857396,1119.7601675229762,0.0122496620728641,-0.3835068836550759,-0.3543631802430785,12.183449282754257,0.00335,2.2698336231905625,0.0,0.2348978785995231,10.661904019871043,8.525429062791519,0.1797410445394738,1.2911662694790962e-11,7.750084117393286e-05,4.161227405281453e-06,0.9981906651546036,12879.739755525923,4.883745881421698,405373.3973671374,3.449796911372664,0.0222722252754181,0.0762050543713021,0.1612903225806451,-1.159401096238574,0.9156703675307704,1.768993249098246,0.0174384832382201,0.1152189630270003,0.1604006338119507,0.0138038926417539,1.3921374537484985,1.0,0.5909843959909761,"MATLAB 2-13 PM Thu, Oct 31, 2024 Run7 .csv",8.0,1
