file_name,a0_spectral_entropy,a0_spectral_centroid,a0_spectral_flatness,a0_spectral_bandwidth,a0_std_dev_time_diff,a0_mean_time_diff,a0_median_time_diff,a0_peaks_per_second,a0_percent_time_above_threshold,a0_num_boilings,a0_unused_peak_proportion,a0_skewness,a0_kurtosis,a0_crest_factor,a0_burstiness,a0_spectral_flux,a0_low_band_power,a0_mid_band_power,a0_high_band_power,a0_high_to_low_ratio,a0_mean_spectral_entropy_time,a0_var_spectral_centroid_time,a0_wavelet_energy_low_scale,a0_wavelet_energy_mid_scale,a0_wavelet_energy_high_scale,a0_regime_dominance,a0_rms_change_points,a0_skew_peak_magnitude,a0_kurtosis_peak_magnitude,a0_iqr_peak_magnitude,a1_spectral_entropy,a1_spectral_centroid,a1_spectral_flatness,a1_spectral_bandwidth,a1_std_dev_time_diff,a1_mean_time_diff,a1_median_time_diff,a1_peaks_per_second,a1_percent_time_above_threshold,a1_num_boilings,a1_unused_peak_proportion,num_peak_mag_high_diff,peak_mag_correlation,a1_skewness,a1_kurtosis,a1_crest_factor,a1_burstiness,a1_spectral_flux,a1_low_band_power,a1_mid_band_power,a1_high_band_power,a1_high_to_low_ratio,a1_mean_spectral_entropy_time,a1_var_spectral_centroid_time,a1_wavelet_energy_low_scale,a1_wavelet_energy_mid_scale,a1_wavelet_energy_high_scale,a1_regime_dominance,a1_rms_change_points,a1_skew_peak_magnitude,a1_kurtosis_peak_magnitude,a1_iqr_peak_magnitude
"MATLAB 4-22 PM Thu, Oct 10, 2024 Run5 .csv",5.6313423813094206,2248.878021931885,0.2582135305637889,1247.1089309195067,0.001363121229858934,0.34926071397658315,0.34909999969144856,2.900029002857031,0.00049,1,0.0,-1.9286695277444057,99.48912959135241,20.89877622339072,0.0039028759185046136,2.349730055971916e-11,0.00027508847348974496,0.00017864211117106946,0.9981857122181017,3628.5988269708914,3.795056528752752,385339.1689414108,14.231235458360045,0.09834707215651745,0.1544983000009016,1.0,2.0,0.6226274547755222,-0.9895663513029818,0.024596357345581105,5.951427064139574,2650.3836589119105,0.2608742849419902,1098.0383372205022,0.0019357011053268416,0.3492857139765609,0.349049999692268,2.900029002857031,0.00051,1,0.0,0,-0.9053823245900364,0.5531996709455003,74.48694477774055,17.493608355776985,0.005541884560033104,1.3784643398644217e-11,0.00021340117793420765,8.198469368090883e-06,0.9991272148168949,4681.919867963097,3.7779944154594998,627945.8665070817,10.707149686159951,0.04725093389882725,0.16692991745720992,1.0,2.0,-0.5899657822852108,-0.9419526724154741,0.045721081495285004
"MATLAB 4-22 PM Thu, Sep 5, 2024 Run6 .csv",5.556291407906935,2478.0041434962613,0.23027639368341488,1315.21498530481,0.2864597937852952,0.9130199991922356,0.9825999991318877,1.1000110010837014,0.00059,0,1.0,4.909557234016387,388.12122288152113,43.28984410262797,0.3137497470359149,2.2576198731965646e-11,0.00021587315851824776,6.471308963826048e-05,0.9992559097390186,4628.90299376683,3.6634295157885317,441002.50755811343,5.520459308420826,0.041602368094070225,0.08110293552071084,0.0,2.0,-0.8866052161228289,-0.777243403155695,0.15611458361148844,5.851492896211156,3054.383590059321,0.20220202839838883,1332.8701737225906,0.2870847051914805,0.9130299991922275,0.983199999128709,1.1000110010837014,0.00277,0,1.0,0,0.6899355510530055,0.7142442114360353,215.76458722940902,30.678422797426464,0.31443074756083483,2.538684023091422e-11,0.00018801384967277076,2.446945824996159e-05,0.9994452923131945,5315.806756005911,3.1915716599672974,850974.2236571565,5.377958803997497,0.05049111267963865,0.11484082077877324,0.0,2.0,-1.1590649422549233,0.33328029881224763,0.02367720663547518
"MATLAB 4-22 PM Tue, Oct 1, 2024 Run4 .csv",5.990449909303248,2476.3847997257826,0.2910754335774803,1226.1684110936812,0.36909999967297336,1.8202999983871104,1.8202999983871104,0.30000300029555493,6e-05,0,1.0,-5.905670380865751,841.769174817807,58.36862559993239,0.20276877437785915,1.1909892423459761e-12,0.0005128566359527719,0.00013523991246870438,0.996942222483301,1943.9004052881314,4.440828967774646,347516.47019210155,1.1051235724210338,0.007522620128326372,0.015142853546268356,0.0,1.0,-0.5849564985513862,-1.5000000000000016,0.016779239177703853,5.849284246919258,2740.096999277154,0.2612177394540126,1040.6370835098935,0.3688999996731501,1.819399998387908,1.819399998387908,0.30000300029555493,4e-05,0,1.0,0,0.9893018797055211,-0.38942693211969304,900.2795647078253,61.3884373918,0.20275915136859216,2.7160006127979543e-12,0.000936941748882496,1.572960416945431e-05,0.9984955859565361,1065.6965463941128,3.5132345357257497,571132.8890223533,1.0577747088422937,0.006048251756283005,0.020172340725742463,0.0,2.0,-0.36050324463535244,-1.500000000000001,0.035151330232620265
"MATLAB 4-23 PM Thu, Oct 17, 2024 Run15 .csv",5.4282073937406725,2242.208072741659,0.23306712838540689,1273.2664715930018,0.0013212115640210444,0.17851999984182726,0.1782999998420547,6.0006000653225495,0.0009,1,0.0,0.8389151913723817,33.81281511782238,11.877291599025288,0.007400916228947275,1.9603741117640754e-12,0.0002184994166621155,0.00016315700800680196,0.9995418348983087,4574.574386365463,3.23760764011229,270359.5900265538,0.9011734562722044,0.005687694940810557,0.007566037118900635,1.0,0.0,-0.9449037741706477,-0.2728386410614405,0.005757141113281322,5.699792961324224,2277.397024311564,0.2565225009625145,1159.3844891969381,0.0005999999994642124,0.17859999984175648,0.17859999984174835,6.0006000653225495,0.0007,1,0.0,0,-0.7117726951379735,0.3784849091601416,34.22422597375647,12.34826324349317,0.0033594624859788666,1.6460435836526678e-12,0.0002937185497079736,0.00010098102422372631,0.9982233122931266,3398.5708879660447,2.7682967921759345,338865.6793968822,0.9618996190467444,0.004421399427818171,0.006355315709957149,1.0,0.0,0.035047610975863445,-1.833964033326726,0.024525356888771083
"MATLAB 4-23 PM Wed, Nov 6, 2024 Run14 .csv",5.36863204888386,2146.4272162775023,0.2171288294308917,1350.2308850125573,0.0013543710659906633,0.1896111109431073,0.18969999983191282,5.000250016931024,0.0005,1,0.0,0.25632990437243713,35.54198477407396,13.302821710062387,0.0071428887223652275,2.2470951781868386e-11,0.00015117154144621704,9.346435323895938e-05,0.9993373853527622,6610.6184787981465,2.2728672523861695,357297.90956561005,6.605639577926429,0.017661404914283724,0.03705148014890468,1.0,0.0,1.3808634604576164,0.08610992396720007,0.008462547659873948,5.433587788473837,2229.903271320543,0.22026940015357935,1189.224383651545,0.002731616441188912,0.18882222205491722,0.18969999983191294,5.000250016931024,0.0013,1,0.0,1,-0.8458420013232307,0.14495572109694937,26.060994557737732,11.043845016873396,0.014466604679582926,2.403637879630348e-11,0.00011688839874530454,3.954151065486953e-05,0.9991382647935408,8547.796663470648,2.070402968112085,436005.3542386553,6.786198200232847,0.027833313674992283,0.04522558469791934,1.0,0.0,-1.3474206063497858,0.8350744293810521,0.02043961793184282
"MATLAB 4-24 PM Thu, Oct 10, 2024 Run6 .csv",5.587696176142892,2205.222578032766,0.25381224799623586,1232.8312845087485,0.031002523048812833,0.2939151512550206,0.2888999997452979,3.4000340033496226,0.00061,1,0.17647058823529413,-1.5459877217348579,84.98086018675252,18.58498788600395,0.10548120066771567,3.254456322301598e-11,0.0002143028578670186,0.0001843176198355297,0.9980437380606352,4657.164855356019,4.075324111112548,370427.79975813464,18.253901114629127,0.12377380876658758,0.1920469034982488,1.0,2.0,0.3140624833776564,-1.1649214294209664,0.028795183002948754,5.9434974621548315,2624.681618506907,0.25839971614304463,1097.750221388892,0.030647115251906176,0.2938090906490541,0.28819999974591504,3.4000340033496226,0.00056,1,0.17647058823529413,0,-0.9351137028990723,0.2507517910589598,61.81598591009097,15.898548266385179,0.10430962222511084,1.7931961910484926e-11,0.00017892408188598642,8.496949603972651e-06,0.9992263668673103,5584.6387827438175,3.893084510743685,546705.3188817492,13.438104696253097,0.056901990142898956,0.20268924695919727,1.0,2.0,-0.598012718106503,-0.9679605397367488,0.04047957718372344
"MATLAB 4-24 PM Thu, Oct 17, 2024 Run16 .csv",5.446397568331509,2293.6022340582667,0.253691982213969,1315.9818165274994,0.0008381527299756605,0.2329499997936057,0.2330499997935323,5.000500054435458,0.0006,1,0.0,0.05646911325311576,35.509903314172625,12.086607036968894,0.003597994121992986,2.284931853133021e-12,0.00015837722477442452,0.00013375391857664695,0.9992397801275201,6309.2391065112415,4.627621352027537,349477.0309935738,0.8127336350289169,0.0033884006122350116,0.006008607397888289,1.0,0.0,0.15862377390720964,-1.7263370054149658,0.017264355421066288,5.7257079619981495,2293.1236558837923,0.27282393143606687,1157.7360122981195,0.0008845902998682363,0.23304999979351712,0.2332999997933109,5.000500054435458,0.0006,1,0.0,0,-0.7511310276334549,0.5606593899514076,37.7786996636165,13.230421174488246,0.0037957103653807577,1.617322116334647e-12,0.00018933730083451787,8.04448547290581e-05,0.9972341247890241,5266.97127504006,4.30842275132807,339555.3885246864,0.8578038832389785,0.003048013531963558,0.005514912619714184,1.0,0.0,0.023010744434508852,-1.3746302466789155,0.011159601211547798
"MATLAB 4-25 PM Thu, Sep 5, 2024 Run7 .csv",4.553069771037421,1833.9089209793342,0.1427096563777062,998.4470496566289,0.5327796308503783,2.1917666647291414,1.9623999982672857,0.40000400039407324,0.00038,0,1.0,3.2888745327066884,869.6394724265846,68.78782836630506,0.24308227669673915,8.061462229321677e-11,0.00033774406978837604,6.118603527722562e-05,0.9995707004679673,2959.5507068244874,3.618173618211452,467077.2647945639,4.173867727119504,0.018882216014259955,0.036776605541332864,0.0,3.0,0.011217535009112758,-1.0171542452458013,0.11187278538942336,5.1384866488631395,2202.091341704575,0.17736968083594423,1214.9538319378423,0.5320336221052907,2.19253333139513,1.9622999982673668,0.40000400039407324,0.0007,0,1.0,0,0.7141099084789294,-0.25344453326102007,638.6265687893515,57.99465685003993,0.24265702805382328,7.47210739504028e-11,0.00043989609587321134,2.8239681880697362e-05,0.9993687994589757,2271.829208838939,2.906688382437509,923870.9486405468,3.958162757828995,0.01632137182510071,0.033466417282691875,0.0,4.0,-0.882046046695003,-0.8269060146344902,0.07988772213459011
"MATLAB 4-26 PM Thu, Oct 10, 2024 Run7 .csv",5.601611091488573,2204.5495513159763,0.25984366990436514,1231.7877843078397,0.020134115787990892,0.2585426084658775,0.2604999997680242,3.8666795590349543,0.0008433333333333333,1,0.008620689655172414,-1.4441267409895697,75.69868701968119,21.921682460237363,0.07787542605631363,3.563223972512921e-11,0.0004227731067657333,0.00018113975177620872,0.9977145272694065,2359.929028840189,3.8933525801963818,569055.692131135,62.70101461315575,0.4268832863625784,0.8064553661967577,1.0,9.0,0.058855528982499884,-1.0601542296118116,0.0289270639419556,5.935514784011717,2628.1728768773723,0.2754800872798991,1102.7134757566125,0.01999189860615067,0.2585426084658775,0.26039999976811323,3.8666795590349543,0.0007466666666666666,1,0.008620689655172414,0,-0.7928943543406939,0.1803096745702234,52.94527293798132,17.80577289767241,0.07732535354531013,2.014455182735324e-11,0.0006070057367581271,1.2342509839087653e-05,0.998836500957933,1645.514103857536,3.8558765387066978,681739.4773279962,46.88964716582752,0.22059096078831214,1.1496890328543796,1.0,9.0,-0.15777685497684923,-0.6833841837439545,0.04920492291450501
"MATLAB 4-26 PM Thu, Oct 17, 2024 Run17 .csv",5.487279461787004,2310.9373989327346,0.26209863617510015,1314.373755955734,0.010382950596179687,0.34600714255092274,0.3438999996953117,2.900029002857031,0.00042,1,0.0,0.26561588880696846,64.7084962005259,17.206602491501968,0.030007908275048404,1.2363920692025174e-12,0.00019969436534194982,0.00013761524060887297,0.9992831517200179,5004.062833765387,4.34965969684995,517882.75497086765,4.315980625963464,0.017656676551037743,0.03193105985762835,1.0,2.0,-0.8650798197157372,0.24849597455872185,0.006446584463119492,5.767153752346468,2342.961444500345,0.2847206578918883,1149.4795975800248,0.010217329707609123,0.346021428265196,0.3446999996946032,2.900029002857031,0.00039,1,0.0,1,-0.6549260720295887,0.30002592368343545,60.11519003611843,16.96724884593781,0.029528025934215867,9.443254153633445e-13,0.00034634164404378267,8.128552066869904e-05,0.997232845328883,2879.3327700518107,4.175346601269852,482876.4190091579,4.501186537487242,0.01579028916554963,0.027799470863454984,1.0,2.0,-0.35577096559410915,-0.8723273879704392,0.017923599481582703
