a0_spectral_entropy,a0_spectral_centroid,a0_spectral_flatness,a0_spectral_bandwidth,a0_std_dev_time_diff,a0_mean_time_diff,a0_median_time_diff,a0_peaks_per_second,a0_percent_time_above_threshold,a0_num_boilings,a0_unused_peak_proportion,a0_skewness,a0_kurtosis,a0_crest_factor,a0_burstiness,a0_spectral_flux,a0_low_band_power,a0_mid_band_power,a0_high_band_power,a0_high_to_low_ratio,a0_mean_spectral_entropy_time,a0_var_spectral_centroid_time,a0_wavelet_energy_low_scale,a0_wavelet_energy_mid_scale,a0_wavelet_energy_high_scale,a0_regime_dominance,a0_rms_change_points,a0_skew_peak_magnitude,a0_kurtosis_peak_magnitude,a0_iqr_peak_magnitude,a0_mean_peak_magnitude,a0_max_peak_magnitude,a0_std_peak_magnitude,a0_max_to_mean_peak_ratio,a1_spectral_entropy,a1_spectral_centroid,a1_spectral_flatness,a1_spectral_bandwidth,a1_std_dev_time_diff,a1_mean_time_diff,a1_median_time_diff,a1_peaks_per_second,a1_percent_time_above_threshold,a1_num_boilings,a1_unused_peak_proportion,a1_skewness,a1_kurtosis,a1_crest_factor,a1_burstiness,a1_low_band_power,a1_mid_band_power,a1_high_band_power,a1_high_to_low_ratio,a1_mean_spectral_entropy_time,a1_var_spectral_centroid_time,a1_spectral_flux,a1_wavelet_energy_low_scale,a1_wavelet_energy_mid_scale,a1_wavelet_energy_high_scale,a1_regime_dominance,a1_rms_change_points,a1_skew_peak_magnitude,a1_kurtosis_peak_magnitude,a1_iqr_peak_magnitude,a1_mean_peak_magnitude,a1_max_peak_magnitude,a1_std_peak_magnitude,a1_max_to_mean_peak_ratio,file_name
4.1264156782260955,2201.3717315729104,0.09293957279535038,2969.4094335875707,1.2170761835270267,1.4009133330406334,1.0072599997999496,0.7000014001489766,3.2e-05,0,1.0,-0.004765319985569593,0.017369201770527365,4.740627211048741,0.8687733600803167,3.905026007148242e-16,0.008842765779108456,0.10038439154138715,0.8907428058219922,100.73124496030681,3.682474312309492,295858.65892291773,19.939497518514106,57.84164174974809,17.166440007342057,0.0,2,-0.16046638430462618,-1.7864526436118093,0.0020699363946914996,0.016322394609451254,0.0176241767406463,0.0010657087816202072,1.0797543597212915,4.823646506517053,3032.7111446470763,0.17712227907467556,3606.446928683538,,,,,,0,0.0,,,,,,,,,,,,,,,,0,,,,,,,,Boiling_at_Heater_T85_RefVideo1.csv
3.8101807076855163,1665.9502697008563,0.043837044750726285,1867.0128565197451,0.6924692948568345,0.48039454535706577,0.17727999996376553,1.985729226368742,0.00011583382149015247,0,1.0,0.0035861995545903094,0.07360744293045896,4.866841680089705,1.4414595285259508,7.77822956012777e-16,0.01513062927149213,0.1460986636409966,0.8387605642732648,55.43461208540662,3.354057414810408,131302.31999992888,15.07565428748766,39.178524895388556,17.88992203479856,0.0,0,2.5191406522500457,5.190377407282128,0.0007254254817962488,0.016002035836378683,0.0206980788707733,0.0014938785013362786,1.2934653491850538,4.233152072280111,1986.6813837188702,0.08861168843734485,2472.60507514269,,,,,,0,0.0,,,,,,,,,,,,,,,,0,,,,,,,,Boiling_at_Heater_T93_RefVideo2.csv
3.616228482115903,1387.868379064046,0.04741916396356502,2011.2917842414747,,,,,,0,0.0,,,,,,,,,,,,,,,,0,,,,,,,,4.068988025840774,1820.0064977330717,0.09604621072581801,2650.682144267246,,,,,,0,0.0,,,,,,,,,,,,,,,,0,,,,,,,,Boiling_at_Heater_T98_RefVideo3.csv
3.840602864492288,1960.6718728902304,0.05159462888895936,2179.760527211787,0.043059234866438825,0.035433736256380154,0.021809999995299645,23.246833100172854,0.004982177473240803,3,0.0,-0.04558037972993154,0.7057357854512674,5.298585535743604,1.215204475048426,9.32999308713889e-15,0.006817611955048945,0.05924440392888977,0.9339118668569167,136.98518968438592,3.3770993942135874,111148.51220787919,66.67232587527603,185.86980883450096,52.285255685189234,0.022054556006964595,0,0.8232669624889766,0.1513812846948417,0.00500312268733975,0.024663377928603496,0.036295690536499,0.0035841095024612786,1.4716431237265706,4.361142267440104,2425.287461405203,0.09197236443259733,2664.815448758566,0.07167215983503052,0.06229340907789314,0.03433999999259996,11.305836862925595,0.001097552610117301,3,0.011235955056179775,-0.016292346846558656,0.6914501025401032,7.021836763948618,1.1505576736924121,1.0153167838733904e-15,0.005776131732733603,0.05199507057445468,0.9422077119154724,163.12088357956554,3.729321439500029,183202.82090138493,27.882221940607515,51.915212684811635,15.914282617927716,0.04044117647058824,0,2.525236229073597,9.673339479679074,0.0026530396938324007,0.017436108013217325,0.0310814940929412,0.0024564551379536895,1.782593573599113,Calm_to_Boiling_50V_on_StartT65.csv
3.670039547831636,1446.4364415985656,0.04385437977038084,1929.2287110171658,,,,,,0,0.0,,,,,,,,,,,,,,,,0,,,,,,,,3.970610397723297,1707.3236414974008,0.08725877105654531,2489.575904338299,,,,,,0,0.0,,,,,,,,,,,,,,,,0,,,,,,,,Calm_to_Boiling_50V_on_StartT80.csv
6.022721529631733,2857.411087814228,0.3969592870269997,1263.5407849708793,0.903641581450596,1.2182499989231863,1.113599999014869,0.7000070006896282,0.00035,0,1.0,1.548618201056956,191.66659379102478,49.0494372816913,0.7417538126405309,2.2315285252180874e-15,0.005212425839248056,0.0022309387020708928,0.9882656335017871,189.5980228745766,4.988478748478457,493530.7365779571,0.08953681228722432,0.004015941129085704,0.004276917170593203,0.0,2,1.5803320654654236,1.011454420990221,0.013970384001731898,0.02989830613136287,0.0768565487861633,0.020522902919875602,2.5705987639728507,5.694182894525903,1811.798504255628,0.4380999197232188,1253.3633358443972,0.4655781958931742,1.1162249990117465,1.1554999989777441,0.5000050004925916,0.00016,0,1.0,-0.7208507942030963,9.902886251924208,21.03364167321845,0.4171006708373091,1.7264746967136524e-15,0.01710911745356806,0.0023747958212591096,0.9802181216193772,57.292149889061356,3.8538350926615075,421229.0623167931,0.14619060209989337,0.0030939428607725996,0.002948907830237513,0.0,1,0.6330940798309221,-1.302265146431665,0.012589248418807895,0.02575601005554194,0.0397968804836273,0.008630065647437981,1.5451492835189422,"MATLAB 1-00 PM Thu, Aug 22, 2024 Run1.csv"
4.807220506399118,1190.9354735825236,0.15743568913522943,719.5554015117594,0.15938781087257464,0.14840999986836814,0.11754999989558346,6.733378228493666,0.004206666666666667,2,0.8415841584158416,-0.05156755360517183,0.12169584976139669,4.883086427564687,1.0739694832824151,6.513669509860549e-14,0.006050164199360227,0.032770081183563234,0.9611622921828237,158.86548868945764,4.3605056169097915,25919.0457138004,12.534577294321009,1.4792812966210702,0.15006539838454871,0.5,1,1.051865271135677,1.5091380954841487,0.002787330150604301,0.018276810929326683,0.0265381073951721,0.0022536739240670823,1.452009735056649,5.061525607748599,1352.8009345265434,0.21520133604790065,896.8798141319595,,,,,,0,0.0,,,,,,,,,,,,,,,,0,,,,,,,,"MATLAB 1-02 PM Mon, Mar 11, 2024 Run4 .csv"
4.835682762886271,1189.2693048168414,0.1563461013785876,707.0828910986536,0.10696655395734551,0.1537113400698542,0.12189999989252964,6.533376894974052,0.00264,3,0.2653061224489796,-0.020758502203260164,0.09257278594972052,5.328227593989039,0.6958924039614416,5.476479268923988e-14,0.006675985289867571,0.03706562241186743,0.9562433057996607,143.23628113006663,4.388930085132691,22413.547234380727,11.502073436312035,1.5080900623510907,0.16097913288186547,0.15463917525773196,1,1.0737353517966859,0.9933262734471593,0.0031163096427916787,0.018288410305976822,0.0262155532836914,0.002297758238443846,1.4334517240748865,5.112286729547943,1336.4323784745795,0.22420805390870152,894.1639995314172,,,,,,0,0.0,,,,,,,,,,,,,,,,0,,,,,,,,"MATLAB 1-05 PM Mon, Mar 11, 2024 Run5 .csv"
6.293300161279161,3570.627824108374,0.49225863385335783,1350.8318198719219,0.6139868807183617,0.47902631536561857,0.1754999998444946,2.0000200019703662,0.00021,0,1.0,0.008041919761982652,0.02496645238573425,4.442871960997719,1.2817393554876708,7.742864362303984e-15,0.012306918081303336,0.0066457260361842425,0.9741443933879032,79.1542112291966,5.69848606968985,25877.51747761851,1.0455354286538752,0.6549830500418095,0.5622436140954454,0.0,1,0.6443834324282782,-0.5784276818748371,0.0018206316232680774,0.01655322641134258,0.0194052922725677,0.0013086588813298959,1.1722966743976166,5.883305123394594,3687.9001603924967,0.29133676268538466,883.5986678386022,0.041134520068404054,0.08524102556557281,0.07129999993713998,11.80011801162516,0.00492,3,0.0,0.011405867463087131,0.017818060758093335,4.507369371922605,0.48256716522915094,1.0389724939467783e-12,0.005052679406185201,0.0023811621041513378,0.9915824282257345,196.24883126602018,5.30707955007694,9817.763845866904,4.179404015868068,2.372230243155955,2.1871539264781665,0.044571428571428574,1,1.0453078309506203,1.5798163849430074,0.006638542711734752,0.043704737131878446,0.0632411670684814,0.004923634258221175,1.4470094369324782,"MATLAB 1-07 PM Fri, Jun 14, 2024 Run1 .csv"
4.83628964457591,1198.9761378089909,0.1679754794990038,723.8563762192028,0.0816528843446618,0.16270786502424553,0.15349999986398855,6.000040005588415,0.0019333333333333333,3,0.15555555555555556,-0.013567368098322801,0.1524377342632497,5.136240661345706,0.5018373532987755,5.0302329530146235e-14,0.005596606285284788,0.04269680901250357,0.9516815840918829,170.046191491824,4.39682925416212,23776.047092056062,11.1165730764574,1.6164797135289746,0.15775698712882022,0.12878787878787878,0,1.8715552604443668,4.367429925586172,0.0021436676383018473,0.017581390844451008,0.0257413601875305,0.0020768678915789535,1.4641253593230321,5.123959378670019,1348.483902611964,0.23289421178761488,907.6803029786847,,,,,,0,0.0,,,,,,,,,,,,,,,,0,,,,,,,,"MATLAB 1-08 PM Mon, Mar 11, 2024 Run6 .csv"
