file_name,a0_spectral_entropy,a0_spectral_centroid,a0_spectral_flatness,a0_spectral_bandwidth,a0_std_dev_time_diff,a0_mean_time_diff,a0_median_time_diff,a0_max_peak,a0_median_peak,a0_std_peak,a0_peaks_per_second,a0_sum_peak_magnitude,a0_percent_time_above_threshold,a0_num_boilings,a0_unused_peak_proportion,a1_spectral_entropy,a1_spectral_centroid,a1_spectral_flatness,a1_spectral_bandwidth,a1_std_dev_time_diff,a1_mean_time_diff,a1_median_time_diff,a1_max_peak,a1_median_peak,a1_std_peak,a1_peaks_per_second,a1_sum_peak_magnitude,a1_percent_time_above_threshold,a1_num_boilings,a1_unused_peak_proportion,num_peak_mag_high_diff,avg_peak_mag_diff,peak_mag_correlation
"MATLAB 3-53 PM Mon, Aug 26, 2024 Run4 .csv",5.828619161801903,2410.60058578324,0.3243591212248391,1319.4337206807918,0.03269256198194823,0.15428281236344335,0.16264999985624207,0.2300620412826538,0.1892332446575165,0.041800628806677155,6.50006500640369,11.664316151142117,0.0045,3,0.03076923076923077,5.617368458980034,1925.2655956139208,0.29590382559739786,1113.26230013005,0.04466490567776427,0.1595114752686532,0.16329999985457988,0.208964946269989,0.1788649290800094,0.021850915734850686,6.200062006108135,10.656639115810394,0.00378,1,0.016129032258064516,3,0.0435095690911816,-0.2242904271396248
"MATLAB 1-55 PM Mon, Oct 28, 2024 Run0 .csv",5.993953420271032,2491.0759486572224,0.4630812478372638,1429.328686395303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.188424671360297,2288.2961714093453,0.5627638660532062,1375.508847272243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.019700217247009308,0.0
"MATLAB 3-08 PM Tue, Oct 1, 2024 Run0 .csv",5.132530609172351,1516.4552858910447,1.029571017109247,1717.0079935959302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.7200925697094926,902.2961816161688,0.5652552799599506,1480.6097863373693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
"MATLAB 2-58 PM Tue, Apr 30, 2024 Run3 .csv",5.662385719392876,2029.437197742638,0.29348796225943113,1230.0154537466076,0.020783585104485,0.07947119992965686,0.07059999993775712,0.0617646145820617,0.035792583227157546,0.006032558577203076,12.600126012413307,4.572859919071191,0.00494,3,0.0,5.054152046420415,1549.0267061766624,0.2520834838174906,1017.3600863029536,0.03059636290697456,0.09030545446552156,0.08759999992257517,0.0793945741653442,0.0504906415939331,0.008183150963507944,11.100111010935533,5.7136663448810525,0.00494,3,0.0,5,0.015597513258994163,0.09642003502470146
"MATLAB 2-46 PM Thu, Oct 31, 2024 Run18 .csv",5.599374991982582,2544.8182134383633,0.2141308753517315,1314.2211870787303,0.24321042993388092,0.7200999993623406,0.8457499992506129,0.110042997598648,0.09958376288414,0.00433079577178716,1.40002800179927,0.7029019522666928,0.00018,1,0.14285714285714285,5.8600948462020686,3122.873253889471,0.24679632199160662,1002.4441391570441,0.2439939819502661,0.7201999993622525,0.8457499992506127,0.1329546201229095,0.1274467837810516,0.010133338212991038,1.40002800179927,0.8556094777584075,0.00014,1,0.14285714285714285,0,0.021815360784530644,0.3419604658595914
"MATLAB 3-44 PM Tue, Sep 17, 2024 Run3 .csv",5.956039482079154,3034.1154081801374,0.2893209553396598,1063.4492762315706,0.12790106408186475,1.503233332002285,1.5235999986527013,0.1812651300430298,0.1065215677022934,0.04899638283945635,0.40000400039407324,0.4373133385181427,0.00105,0,1.0,5.956098838019823,3197.477886228411,0.2245748799942232,1035.5826140237443,0.12589292617474632,1.500233332004929,1.5192999986564688,0.3893285953998566,0.2576571238040924,0.11010330675758968,0.40000400039407324,0.9897694993019103,0.00044,0,1.0,0,0.13811404019594192,0.9763735648086905
"MATLAB 4-20 PM Wed, Jun 19, 2024 Run2 .csv",4.931437514013876,1429.726393540961,0.9119240147654253,1674.9306466981404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.277836145694382,252.68667534849052,0.21744824593498055,786.1623897279554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
"MATLAB 3-15 PM Thu, Oct 24, 2024 Run15.csv",5.441444180242688,2122.6541160196557,0.24698590163272555,1418.009339958392,0.04758663673751827,0.18509999983599942,0.1895999998320015,0.2143179309368133,0.17547650456428526,0.019744100613359895,6.0006000653225495,1.0725560319423675,0.0005,2,0.0,5.284962535991099,2051.636182668961,0.24018558479908278,1250.3807986305048,0.04759127646940938,0.18517999983592856,0.18919999983235597,0.1983052396774292,0.17071561872959135,0.017833561438175344,6.0006000653225495,1.0155230677127838,0.0008,2,0.0,0,0.03145245273907977,-0.8700395139347077
"MATLAB 3-29 PM Tue, Oct 8, 2024 Run8 .csv",5.6083230753997,2141.8365407832825,0.2490580110234999,1174.4021950788288,0.07241393283418936,0.385560783971417,0.4078999996385728,0.3804737782478333,0.3336610245704651,0.03265902058250399,2.6000130023733985,17.544243719577793,0.001095,1,0.057692307692307696,5.668262222341447,2524.519281896445,0.19889914411993945,1101.713363640342,0.07214889783401435,0.38562548985371253,0.4081999996383487,0.4697685790061951,0.38386573672294616,0.07162476570706744,2.6000130023733985,19.318796367645266,0.002795,2,0.2692307692307692,0,0.06995015419446506,0.1931773242287062
"MATLAB 3-21 PM Thu, Oct 17, 2024 Run5 .csv",5.433561378391483,2187.5614420925876,0.26277434016507895,1306.202901460134,0.0006261240444510867,0.06335477701398531,0.063299999944193,0.1133103036880493,0.10690291404724114,0.0032244164477454517,15.800158015565893,16.83660047888755,0.00167,3,0.0,5.148421201189818,1804.3223190031647,0.2787965883096828,1360.1254377530242,7.380294104575682e-05,0.0633605094980567,0.06339999994382262,0.1505820095539093,0.1188489818572998,0.0208296974342041,15.800158015565893,18.403297843933103,0.00164,3,0.0,4,0.020615406994578214,-0.04338641176256974
