file_name,a0_spectral_entropy_x,a0_spectral_centroid_x,a0_spectral_flatness_x,a0_spectral_bandwidth_x,a0_std_dev_time_diff_x,a0_mean_time_diff_x,a0_median_time_diff_x,a0_peaks_per_second_x,a0_percent_time_above_threshold_x,a0_num_boilings_x,a0_unused_peak_proportion_x,a0_skewness_x,a0_kurtosis_x,a0_crest_factor_x,a0_burstiness_x,a0_spectral_flux_x,a0_low_band_power_x,a0_mid_band_power_x,a0_high_band_power_x,a0_high_to_low_ratio_x,a0_mean_spectral_entropy_time_x,a0_var_spectral_centroid_time_x,a0_wavelet_energy_low_scale_x,a0_wavelet_energy_mid_scale_x,a0_wavelet_energy_high_scale_x,a0_regime_dominance_x,a0_rms_change_points_x,a0_skew_peak_magnitude_x,a0_kurtosis_peak_magnitude_x,a0_iqr_peak_magnitude_x,a1_spectral_entropy_x,a1_spectral_centroid_x,a1_spectral_flatness_x,a1_spectral_bandwidth_x,a1_std_dev_time_diff_x,a1_mean_time_diff_x,a1_median_time_diff_x,a1_peaks_per_second_x,a1_percent_time_above_threshold_x,a1_num_boilings_x,a1_unused_peak_proportion_x,num_peak_mag_high_diff_x,peak_mag_correlation_x,a1_skewness_x,a1_kurtosis_x,a1_crest_factor_x,a1_burstiness_x,a1_spectral_flux_x,a1_low_band_power_x,a1_mid_band_power_x,a1_high_band_power_x,a1_high_to_low_ratio_x,a1_mean_spectral_entropy_time_x,a1_var_spectral_centroid_time_x,a1_wavelet_energy_low_scale_x,a1_wavelet_energy_mid_scale_x,a1_wavelet_energy_high_scale_x,a1_regime_dominance_x,a1_rms_change_points_x,a1_skew_peak_magnitude_x,a1_kurtosis_peak_magnitude_x,a1_iqr_peak_magnitude_x,cluster,a0_spectral_entropy_y,a0_spectral_centroid_y,a0_spectral_flatness_y,a0_spectral_bandwidth_y,a0_std_dev_time_diff_y,a0_mean_time_diff_y,a0_median_time_diff_y,a0_peaks_per_second_y,a0_percent_time_above_threshold_y,a0_num_boilings_y,a0_unused_peak_proportion_y,a0_skewness_y,a0_kurtosis_y,a0_crest_factor_y,a0_burstiness_y,a0_spectral_flux_y,a0_low_band_power_y,a0_mid_band_power_y,a0_high_band_power_y,a0_high_to_low_ratio_y,a0_mean_spectral_entropy_time_y,a0_var_spectral_centroid_time_y,a0_wavelet_energy_low_scale_y,a0_wavelet_energy_mid_scale_y,a0_wavelet_energy_high_scale_y,a0_regime_dominance_y,a0_rms_change_points_y,a0_skew_peak_magnitude_y,a0_kurtosis_peak_magnitude_y,a0_iqr_peak_magnitude_y,a1_spectral_entropy_y,a1_spectral_centroid_y,a1_spectral_flatness_y,a1_spectral_bandwidth_y,a1_std_dev_time_diff_y,a1_mean_time_diff_y,a1_median_time_diff_y,a1_peaks_per_second_y,a1_percent_time_above_threshold_y,a1_num_boilings_y,a1_unused_peak_proportion_y,num_peak_mag_high_diff_y,peak_mag_correlation_y,a1_skewness_y,a1_kurtosis_y,a1_crest_factor_y,a1_burstiness_y,a1_spectral_flux_y,a1_low_band_power_y,a1_mid_band_power_y,a1_high_band_power_y,a1_high_to_low_ratio_y,a1_mean_spectral_entropy_time_y,a1_var_spectral_centroid_time_y,a1_wavelet_energy_low_scale_y,a1_wavelet_energy_mid_scale_y,a1_wavelet_energy_high_scale_y,a1_regime_dominance_y,a1_rms_change_points_y,a1_skew_peak_magnitude_y,a1_kurtosis_peak_magnitude_y,a1_iqr_peak_magnitude_y
Calm_to_Boiling_50V_on_StartT65.csv,3.840602864492289,1960.6718728902292,0.0515946288889593,2179.7605272117867,0.0430592348664388,0.0354337362563801,0.0218099999952996,23.246833100172854,0.0049821774732408,3,0.0,-0.0455803797299315,0.7057357854512674,5.298585535743604,1.215204475048426,9.329993087138891e-15,0.0068176119550489,0.0592444039288898,0.9339118668569164,136.9851896843858,3.3770993942135874,111148.5122078792,66.67232587527603,185.86980883450096,52.285255685189234,0.0220545560069645,0.0,0.8232669624889766,0.1513812846948417,0.0050031226873397,4.361142267440105,2425.287461405203,0.0919723644325973,2664.815448758566,0.0716721598350305,0.0622934090778931,0.0343399999925999,11.305836862925595,0.0010975526101173,3,0.0112359550561797,6,0.1403497841423732,-0.0162923468465586,0.6914501025401032,7.021836763948618,1.150557673692412,1.0153167838733904e-15,0.0057761317327336,0.0519950705744546,0.9422077119154724,163.12088357956566,3.729321439500029,183202.82090138493,27.882221940607515,51.91521268481164,15.914282617927716,0.0404411764705882,0.0,2.525236229073597,9.673339479679074,0.0026530396938324,2,3.840602864492289,1960.6718728902292,0.0515946288889593,2179.7605272117867,0.0430592348664388,0.0354337362563801,0.0218099999952996,23.246833100172854,0.0049821774732408,3,0.0,-0.0455803797299315,0.7057357854512674,5.298585535743604,1.215204475048426,9.329993087138891e-15,0.0068176119550489,0.0592444039288898,0.9339118668569164,136.9851896843858,3.3770993942135874,111148.5122078792,66.67232587527603,185.86980883450096,52.285255685189234,0.0220545560069645,0.0,0.8232669624889766,0.1513812846948417,0.0050031226873397,4.361142267440105,2425.287461405203,0.0919723644325973,2664.815448758566,0.0716721598350305,0.0622934090778931,0.0343399999925999,11.305836862925595,0.0010975526101173,3,0.0112359550561797,6,0.1403497841423732,-0.0162923468465586,0.6914501025401032,7.021836763948618,1.150557673692412,1.0153167838733904e-15,0.0057761317327336,0.0519950705744546,0.9422077119154724,163.12088357956566,3.729321439500029,183202.82090138493,27.882221940607515,51.91521268481164,15.914282617927716,0.0404411764705882,0.0,2.525236229073597,9.673339479679074,0.0026530396938324
"MATLAB 1-00 PM Fri, Jun 28, 2024 Run8 .csv",5.439864168409741,1910.8551324977448,0.2831755060803294,1009.3886347724484,0.015709584008901,0.3043838706983682,0.3038999997293743,3.200032003152586,0.00462,1,0.0,-0.0875180732254218,33.72229074799877,12.370524718667596,0.051611092180599,2.0486961659128306e-12,0.0022832371976872,0.1546506349596722,0.8428797912125521,369.1599769250052,4.180224957522514,349147.0799978815,6.513067391474481,15.56891581424103,0.4365614968249166,1.0,2.0,-1.6918619311208725,3.0253604018525806,0.0119602036476134,4.93137952653345,1623.11680891039,0.1924236091435802,815.8675751355787,0.0161541604113079,0.3041290319889166,0.3014999997341894,3.200032003152586,0.00381,1,0.0,0,0.7139976015080887,0.2087149042448044,40.429871898667045,11.74116783906958,0.0531161405593685,9.515793339179987e-11,0.0005941052617076,0.0820838077016965,0.91718555632386,1543.8098522937494,3.888325518398002,259564.5400842444,29.86937761771782,32.05001037372243,0.3062146328714271,1.0,2.0,-2.207885803305541,4.406211679123996,0.014798936843872,2,5.439864168409741,1910.8551324977448,0.2831755060803294,1009.3886347724484,0.015709584008901,0.3043838706983682,0.3038999997293743,3.200032003152586,0.00462,1,0.0,-0.0875180732254218,33.72229074799877,12.370524718667596,0.051611092180599,2.0486961659128306e-12,0.0022832371976872,0.1546506349596722,0.8428797912125521,369.1599769250052,4.180224957522514,349147.0799978815,6.513067391474481,15.56891581424103,0.4365614968249166,1.0,2.0,-1.6918619311208725,3.0253604018525806,0.0119602036476134,4.93137952653345,1623.11680891039,0.1924236091435802,815.8675751355787,0.0161541604113079,0.3041290319889166,0.3014999997341894,3.200032003152586,0.00381,1,0.0,0,0.7139976015080887,0.2087149042448044,40.429871898667045,11.74116783906958,0.0531161405593685,9.515793339179987e-11,0.0005941052617076,0.0820838077016965,0.91718555632386,1543.8098522937494,3.888325518398002,259564.5400842444,29.86937761771782,32.05001037372243,0.3062146328714271,1.0,2.0,-2.207885803305541,4.406211679123996,0.014798936843872
"MATLAB 1-00 PM Thu, Aug 22, 2024 Run1.csv",6.022721529631734,2857.4110878142287,0.3969592870269998,1263.5407849708797,0.903641581450596,1.2182499989231863,1.113599999014869,0.7000070006896282,0.00035,0,1.0,1.548618201056956,191.6665937910248,49.0494372816913,0.7417538126405309,2.2315285252180878e-15,0.005212425839248,0.0022309387020708,0.9882656335017874,189.5980228745768,4.988478748478457,493530.7365779571,0.0895368122872243,0.0040159411290857,0.0042769171705932,0.0,2.0,1.5803320654654236,1.011454420990221,0.0139703840017318,5.694182894525903,1811.7985042556284,0.4380999197232174,1253.3633358443974,0.4655781958931742,1.1162249990117463,1.155499998977744,0.5000050004925916,0.00016,0,1.0,0,-0.4319848937971969,-0.7208507942030963,9.902886251924208,21.03364167321845,0.4171006708373091,1.7264746967136524e-15,0.017109117453568,0.0023747958212591,0.9802181216193772,57.29214988906135,3.853835092661508,421229.0623167931,0.1461906020998933,0.0030939428607725,0.0029489078302375,0.0,1.0,0.6330940798309221,-1.302265146431665,0.0125892484188078,2,6.022721529631734,2857.4110878142287,0.3969592870269998,1263.5407849708797,0.903641581450596,1.2182499989231863,1.113599999014869,0.7000070006896282,0.00035,0,1.0,1.548618201056956,191.6665937910248,49.0494372816913,0.7417538126405309,2.2315285252180878e-15,0.005212425839248,0.0022309387020708,0.9882656335017874,189.5980228745768,4.988478748478457,493530.7365779571,0.0895368122872243,0.0040159411290857,0.0042769171705932,0.0,2.0,1.5803320654654236,1.011454420990221,0.0139703840017318,5.694182894525903,1811.7985042556284,0.4380999197232174,1253.3633358443974,0.4655781958931742,1.1162249990117463,1.155499998977744,0.5000050004925916,0.00016,0,1.0,0,-0.4319848937971969,-0.7208507942030963,9.902886251924208,21.03364167321845,0.4171006708373091,1.7264746967136524e-15,0.017109117453568,0.0023747958212591,0.9802181216193772,57.29214988906135,3.853835092661508,421229.0623167931,0.1461906020998933,0.0030939428607725,0.0029489078302375,0.0,1.0,0.6330940798309221,-1.302265146431665,0.0125892484188078
"MATLAB 1-02 PM Thu, Nov 7, 2024 Run8 .csv",5.700523466214685,2294.871845438176,0.2601321043988069,1356.9178434613618,0.000944933859495,0.2358099997912403,0.2355999997912629,4.20008400539781,0.0004,1,0.0,1.5285514573324797,58.05735517788983,17.777887562975184,0.0040071831573368,1.6762173189186158e-11,0.0001796046586576,0.0001720823514029,0.9991079887529378,5562.817781120937,2.5738513181212137,457622.5399895293,14.752301235465987,0.0563930759478273,0.106560644675062,1.0,1.0,-0.4052563421635066,-1.058759462362168,0.0387733173370361,5.308989046859168,2144.0924624139006,0.240346584434951,1207.4333525905374,0.0012130436916114,0.2357449997912973,0.2355999997917856,4.20008400539781,0.00052,1,0.0,0,-0.5879004306974205,0.5924224765027378,32.97700477799756,12.948236092615607,0.0051455754848899,2.363179516398276e-11,0.0001861116581055,9.598499436098656e-05,0.9990280117854174,5367.895928470294,2.4186048812789545,430587.02158378414,17.91751299450009,0.0466936713917039,0.0698648367790605,1.0,1.0,-0.3270751493357315,-0.923031762092128,0.0180765235424042,2,5.700523466214685,2294.871845438176,0.2601321043988069,1356.9178434613618,0.000944933859495,0.2358099997912403,0.2355999997912629,4.20008400539781,0.0004,1,0.0,1.5285514573324797,58.05735517788983,17.777887562975184,0.0040071831573368,1.6762173189186158e-11,0.0001796046586576,0.0001720823514029,0.9991079887529378,5562.817781120937,2.5738513181212137,457622.5399895293,14.752301235465987,0.0563930759478273,0.106560644675062,1.0,1.0,-0.4052563421635066,-1.058759462362168,0.0387733173370361,5.308989046859168,2144.0924624139006,0.240346584434951,1207.4333525905374,0.0012130436916114,0.2357449997912973,0.2355999997917856,4.20008400539781,0.00052,1,0.0,0,-0.5879004306974205,0.5924224765027378,32.97700477799756,12.948236092615607,0.0051455754848899,2.363179516398276e-11,0.0001861116581055,9.598499436098656e-05,0.9990280117854174,5367.895928470294,2.4186048812789545,430587.02158378414,17.91751299450009,0.0466936713917039,0.0698648367790605,1.0,1.0,-0.3270751493357315,-0.923031762092128,0.0180765235424042
"MATLAB 1-04 PM Thu, Aug 22, 2024 Run2.csv",5.897196068948194,2799.657009298429,0.320283095985315,1269.319138094865,0.3621314856407515,0.5757749994904593,0.5656499995003332,1.7000170016748113,0.00121,1,0.5882352941176471,-1.1890736950480223,187.9201729144364,40.73933747361801,0.628946178561461,2.976954838411713e-14,0.0013470907155534,0.0007926719730785,0.9960294522587428,739.3930050579737,4.52442625557835,802036.3709575521,0.4151252576138013,0.0076165857409908,0.009658786461965,1.0,1.0,1.25102054118282,0.8410472818761932,0.0144018483161925,5.499477000671675,1864.724158450284,0.3813611648494502,1288.9060239090068,0.3199215714662812,0.7085846147575433,0.7005999993792207,1.4000140013792564,0.00095,1,0.5,1,0.5254259993104917,-0.4836620560058297,134.21227503517562,33.53674074976419,0.4514938157043515,1.5935066382832627e-14,0.0031409219087742,0.000742844259359,0.9958755668178012,317.0647331395883,3.868334251249195,692070.8236508941,0.6584311454918915,0.004230848891148,0.0034884780102945,1.0,0.0,2.179596360505601,4.551326017769425,0.0090114358067512,2,5.897196068948194,2799.657009298429,0.320283095985315,1269.319138094865,0.3621314856407515,0.5757749994904593,0.5656499995003332,1.7000170016748113,0.00121,1,0.5882352941176471,-1.1890736950480223,187.9201729144364,40.73933747361801,0.628946178561461,2.976954838411713e-14,0.0013470907155534,0.0007926719730785,0.9960294522587428,739.3930050579737,4.52442625557835,802036.3709575521,0.4151252576138013,0.0076165857409908,0.009658786461965,1.0,1.0,1.25102054118282,0.8410472818761932,0.0144018483161925,5.499477000671675,1864.724158450284,0.3813611648494502,1288.9060239090068,0.3199215714662812,0.7085846147575433,0.7005999993792207,1.4000140013792564,0.00095,1,0.5,1,0.5254259993104917,-0.4836620560058297,134.21227503517562,33.53674074976419,0.4514938157043515,1.5935066382832627e-14,0.0031409219087742,0.000742844259359,0.9958755668178012,317.0647331395883,3.868334251249195,692070.8236508941,0.6584311454918915,0.004230848891148,0.0034884780102945,1.0,0.0,2.179596360505601,4.551326017769425,0.0090114358067512
"MATLAB 1-04 PM Tue, Sep 10, 2024 Run9 .csv",5.99774079384499,2741.4131040181096,0.3585779251120976,1278.543154718842,1.4454026948099954,1.3889571416240334,0.981549999132688,0.7500037506846342,0.0015,0,1.0,-1.9306524558114104,293.2588832428916,44.41930712978111,1.0406388012231704,1.0873075054524597e-12,0.0074390961977515,0.0004621734225502,0.9914471419644012,133.27521457029405,3.58764288320372,763757.0173391572,3.1812739218721098,0.0662314316151265,0.1000205976222533,0.0,2.0,-0.0270638435869276,-1.3387714060151163,0.0711257517337799,5.892992896932553,2380.595980465361,0.3224208426212459,1139.2081785762418,1.446234379400419,1.3890571416239452,0.9815499991326946,0.7500037506846342,0.001495,0,1.0,1,0.8439407537831554,1.794388359533354,281.58657266203494,52.39068338596273,1.0411626246776489,1.8117269640066756e-12,0.0103069734553534,8.534585459254506e-05,0.9893104293291248,95.98457137922288,3.2378411243204166,584681.4360719152,4.103149209539619,0.0255506211743329,0.0589151481885165,0.0,2.0,0.7839958763601601,0.2739894475228595,0.0799211341142654,2,5.99774079384499,2741.4131040181096,0.3585779251120976,1278.543154718842,1.4454026948099954,1.3889571416240334,0.981549999132688,0.7500037506846342,0.0015,0,1.0,-1.9306524558114104,293.2588832428916,44.41930712978111,1.0406388012231704,1.0873075054524597e-12,0.0074390961977515,0.0004621734225502,0.9914471419644012,133.27521457029405,3.58764288320372,763757.0173391572,3.1812739218721098,0.0662314316151265,0.1000205976222533,0.0,2.0,-0.0270638435869276,-1.3387714060151163,0.0711257517337799,5.892992896932553,2380.595980465361,0.3224208426212459,1139.2081785762418,1.446234379400419,1.3890571416239452,0.9815499991326946,0.7500037506846342,0.001495,0,1.0,1,0.8439407537831554,1.794388359533354,281.58657266203494,52.39068338596273,1.0411626246776489,1.8117269640066756e-12,0.0103069734553534,8.534585459254506e-05,0.9893104293291248,95.98457137922288,3.2378411243204166,584681.4360719152,4.103149209539619,0.0255506211743329,0.0589151481885165,0.0,2.0,0.7839958763601601,0.2739894475228595,0.0799211341142654
"MATLAB 1-05 PM Thu, Aug 22, 2024 Run3 .csv",5.853611594465465,2703.884662536549,0.3151131862537649,1313.2269038099798,0.5264018897845787,0.6728615378663256,0.5799999994860805,1.4000140013792564,0.00137,0,1.0,1.4484806498103675,123.83478677555136,40.07067486095676,0.7823331549813695,3.768301170200435e-14,0.0015781481682651,0.0009047517893121,0.9954237534763491,630.7543065304386,4.854742693921681,627764.5464382399,0.5123285002966599,0.0093740225121759,0.0111406597126221,0.0,2.0,1.4196615174047278,1.7005167067407765,0.0343849429488182,5.389015821268443,1790.6504659977836,0.3581494986924792,1276.7235555146208,0.6883669298142934,0.87468999922625,0.775349999315146,1.1000110010837014,0.00139,1,0.7272727272727273,1,0.2312952809793355,0.0645352584062426,75.0789908276495,34.56571523839658,0.786983880487055,3.0642793848747954e-14,0.0031565429513645,0.0007406804261582,0.9958791879765868,315.4967961218694,4.243514822773737,551438.2421212497,0.8204022367303548,0.0050513616072928,0.0040947873706439,1.0,3.0,1.4309912803317324,1.9159377442193009,0.0171695810556412,2,5.853611594465465,2703.884662536549,0.3151131862537649,1313.2269038099798,0.5264018897845787,0.6728615378663256,0.5799999994860805,1.4000140013792564,0.00137,0,1.0,1.4484806498103675,123.83478677555136,40.07067486095676,0.7823331549813695,3.768301170200435e-14,0.0015781481682651,0.0009047517893121,0.9954237534763491,630.7543065304386,4.854742693921681,627764.5464382399,0.5123285002966599,0.0093740225121759,0.0111406597126221,0.0,2.0,1.4196615174047278,1.7005167067407765,0.0343849429488182,5.389015821268443,1790.6504659977836,0.3581494986924792,1276.7235555146208,0.6883669298142934,0.87468999922625,0.775349999315146,1.1000110010837014,0.00139,1,0.7272727272727273,1,0.2312952809793355,0.0645352584062426,75.0789908276495,34.56571523839658,0.786983880487055,3.0642793848747954e-14,0.0031565429513645,0.0007406804261582,0.9958791879765868,315.4967961218694,4.243514822773737,551438.2421212497,0.8204022367303548,0.0050513616072928,0.0040947873706439,1.0,3.0,1.4309912803317324,1.9159377442193009,0.0171695810556412
"MATLAB 1-07 PM Fri, Jun 14, 2024 Run1 .csv",6.293300161279161,3570.627824108374,0.492258633853358,1350.8318198719217,0.6139868807183617,0.4790263153656185,0.1754999998444946,2.0000200019703662,0.00021,0,1.0,0.0080419197619826,0.0249664523857342,4.442871960997719,1.2817393554876708,7.742864362303984e-15,0.0123069180813033,0.0066457260361842,0.9741443933879032,79.15421122919656,5.69848606968985,25877.51747761851,1.0455354286538752,0.6549830500418095,0.5622436140954454,0.0,1.0,0.6443834324282782,-0.5784276818748371,0.001820631623268,5.883305123394594,3687.900160392497,0.2913367626853848,883.5986678386023,0.041134520068404,0.0852410255655728,0.0712999999371399,11.80011801162516,0.00492,3,0.0,0,-0.2132953431584407,0.0114058674630871,0.0178180607580933,4.507369371922605,0.4825671652291509,1.0389724939467785e-12,0.0050526794061852,0.0023811621041513,0.9915824282257348,196.2488312660201,5.30707955007694,9817.763845866904,4.179404015868068,2.372230243155955,2.1871539264781665,0.0445714285714285,1.0,1.0453078309506203,1.5798163849430074,0.0066385427117347,2,6.293300161279161,3570.627824108374,0.492258633853358,1350.8318198719217,0.6139868807183617,0.4790263153656185,0.1754999998444946,2.0000200019703662,0.00021,0,1.0,0.0080419197619826,0.0249664523857342,4.442871960997719,1.2817393554876708,7.742864362303984e-15,0.0123069180813033,0.0066457260361842,0.9741443933879032,79.15421122919656,5.69848606968985,25877.51747761851,1.0455354286538752,0.6549830500418095,0.5622436140954454,0.0,1.0,0.6443834324282782,-0.5784276818748371,0.001820631623268,5.883305123394594,3687.900160392497,0.2913367626853848,883.5986678386023,0.041134520068404,0.0852410255655728,0.0712999999371399,11.80011801162516,0.00492,3,0.0,0,-0.2132953431584407,0.0114058674630871,0.0178180607580933,4.507369371922605,0.4825671652291509,1.0389724939467785e-12,0.0050526794061852,0.0023811621041513,0.9915824282257348,196.2488312660201,5.30707955007694,9817.763845866904,4.179404015868068,2.372230243155955,2.1871539264781665,0.0445714285714285,1.0,1.0453078309506203,1.5798163849430074,0.0066385427117347
"MATLAB 1-07 PM Fri, May 31, 2024 Run3 .csv",5.485897646398795,897.3989643991852,0.290568121771749,958.9717910414898,0.061967881893454,0.1387140843842635,0.1285999998854787,7.200072007093318,0.00463,3,0.0,-0.5541475211670756,13.471339945849188,18.988148209477405,0.4467310018915712,1.3821598957626229e-13,0.3946957568413073,0.0950019724343927,0.5102578292906245,1.2927877243326444,4.537721861030125,176567.70614274553,3.1594042827968543,7.578514639708122,6.446920460306357,0.0821256038647343,2.0,1.662524890773606,3.44267355991345,0.0228473687171935,6.145383250281501,1433.3210791735517,0.6580434747018835,1373.6804230506264,0.2691142525994269,0.2706944442048454,0.1580499998599571,3.7000370036451775,0.00065,0,1.0,1,0.2248212723435166,-2.2540386066253246,579.7635534790518,76.56138836174257,0.99416245276086,1.9606827708229125e-12,0.3082644015711791,0.045517238303649,0.64602465190443,2.09568360346422,4.6018968798267,369457.22294516006,6.319069389209892,9.9110478200874,11.495649716312064,0.0,1.0,4.915948636869114,24.76467234544862,0.0202913522720337,2,5.485897646398795,897.3989643991852,0.290568121771749,958.9717910414898,0.061967881893454,0.1387140843842635,0.1285999998854787,7.200072007093318,0.00463,3,0.0,-0.5541475211670756,13.471339945849188,18.988148209477405,0.4467310018915712,1.3821598957626229e-13,0.3946957568413073,0.0950019724343927,0.5102578292906245,1.2927877243326444,4.537721861030125,176567.70614274553,3.1594042827968543,7.578514639708122,6.446920460306357,0.0821256038647343,2.0,1.662524890773606,3.44267355991345,0.0228473687171935,6.145383250281501,1433.3210791735517,0.6580434747018835,1373.6804230506264,0.2691142525994269,0.2706944442048454,0.1580499998599571,3.7000370036451775,0.00065,0,1.0,1,0.2248212723435166,-2.2540386066253246,579.7635534790518,76.56138836174257,0.99416245276086,1.9606827708229125e-12,0.3082644015711791,0.045517238303649,0.64602465190443,2.09568360346422,4.6018968798267,369457.22294516006,6.319069389209892,9.9110478200874,11.495649716312064,0.0,1.0,4.915948636869114,24.76467234544862,0.0202913522720337
"MATLAB 1-10 PM Thu, Aug 22, 2024 Run4 .csv",5.973586549939025,2742.1471281909267,0.3337238812632205,1223.7486769377576,0.2986096936053353,0.5746882347854628,0.5041999995554836,1.8000180017733296,0.00401,1,0.7777777777777778,2.938572274596912,274.7474230707114,37.439650495286,0.5196029351754686,5.345500539017776e-13,0.0007810232080549,0.0009223105612778,0.9968047967454676,1276.2806360491045,4.638948261871,693758.3934468942,1.885444657479589,0.0388980700313785,0.0451368127245465,1.0,2.0,0.5224374672711698,-1.1850838402358197,0.0900992584228515,5.777851874880461,1974.0807911825823,0.3647202127811099,1216.7037349452585,0.3136612009491913,0.6512533327569118,0.628699999445721,1.600016001576293,0.00348,1,0.75,2,0.0320240518812212,-0.7479648261087817,159.63975037288768,31.818928174909733,0.4816270185081252,3.6155211352927387e-13,0.0007356908917246,0.0006499030559437,0.998448378469116,1357.157455257546,4.025411507198032,469511.7315156117,2.858073495450914,0.0171152059692406,0.0111197102022167,1.0,2.0,0.3794395095472116,-1.211710182013824,0.0637203398346901,2,5.973586549939025,2742.1471281909267,0.3337238812632205,1223.7486769377576,0.2986096936053353,0.5746882347854628,0.5041999995554836,1.8000180017733296,0.00401,1,0.7777777777777778,2.938572274596912,274.7474230707114,37.439650495286,0.5196029351754686,5.345500539017776e-13,0.0007810232080549,0.0009223105612778,0.9968047967454676,1276.2806360491045,4.638948261871,693758.3934468942,1.885444657479589,0.0388980700313785,0.0451368127245465,1.0,2.0,0.5224374672711698,-1.1850838402358197,0.0900992584228515,5.777851874880461,1974.0807911825823,0.3647202127811099,1216.7037349452585,0.3136612009491913,0.6512533327569118,0.628699999445721,1.600016001576293,0.00348,1,0.75,2,0.0320240518812212,-0.7479648261087817,159.63975037288768,31.818928174909733,0.4816270185081252,3.6155211352927387e-13,0.0007356908917246,0.0006499030559437,0.998448378469116,1357.157455257546,4.025411507198032,469511.7315156117,2.858073495450914,0.0171152059692406,0.0111197102022167,1.0,2.0,0.3794395095472116,-1.211710182013824,0.0637203398346901
