subcluster,a0_spectral_entropy,a0_spectral_centroid,a0_spectral_flatness,a0_spectral_bandwidth,a0_std_dev_time_diff,a0_mean_time_diff,a0_median_time_diff,a0_peaks_per_second,a0_percent_time_above_threshold,a0_num_boilings,a0_unused_peak_proportion,a0_skewness,a0_kurtosis,a0_crest_factor,a0_burstiness,a0_spectral_flux,a0_low_band_power,a0_mid_band_power,a0_high_band_power,a0_high_to_low_ratio,a0_mean_spectral_entropy_time,a0_var_spectral_centroid_time,a0_wavelet_energy_low_scale,a0_wavelet_energy_mid_scale,a0_wavelet_energy_high_scale,a0_regime_dominance,a0_rms_change_points,a0_skew_peak_magnitude,a0_kurtosis_peak_magnitude,a0_iqr_peak_magnitude,a1_spectral_entropy,a1_spectral_centroid,a1_spectral_flatness,a1_spectral_bandwidth,a1_std_dev_time_diff,a1_mean_time_diff,a1_median_time_diff,a1_peaks_per_second,a1_percent_time_above_threshold,a1_num_boilings,a1_unused_peak_proportion,a1_skewness,a1_kurtosis,a1_crest_factor,a1_burstiness,a1_low_band_power,a1_mid_band_power,a1_high_band_power,a1_high_to_low_ratio,a1_mean_spectral_entropy_time,a1_var_spectral_centroid_time,a1_spectral_flux,a1_wavelet_energy_low_scale,a1_wavelet_energy_mid_scale,a1_wavelet_energy_high_scale,a1_regime_dominance,a1_rms_change_points,a1_skew_peak_magnitude,a1_kurtosis_peak_magnitude,a1_iqr_peak_magnitude,num_peak_mag_high_diff,peak_mag_correlation
0,5.188035652482522,2068.1486980374875,0.21893651906835915,1288.2162511750669,0.0021771914861963217,-0.6308418632928428,-0.6161747094019541,8.944832709634548,0.0021191666666666616,1.6942728036076857,0.0,0.4116212229870721,13.184687700159673,8.794503021616563,0.024377699393749966,1.659346806827029e-11,0.0001867303404662643,0.00045363260152029726,0.998984842369498,3870.187674640153,3.6779504325818446,358214.65935681347,76.21577947431234,0.9735353399813337,0.2434777389416965,0.3154689101407572,-1.0750276388951079,-0.3171987910631522,-0.3782775988785893,0.019677208714625374,4.947539176576331,1886.9474007643635,-0.04447216179938531,1180.663436033455,0.0026824983074377694,-0.6500657219807591,-0.6413316992899069,9.057273976339275,0.0019908823529411674,1.676455542221325,0.0,0.35312675821559764,8.179587183335384,7.842972185034067,0.0307216054353782,0.00024383177263266996,0.0006115734025502889,0.9979272309178735,5876.235419688474,3.458865984213424,392952.51672624075,1.6555857648405636e-11,123.19201759207441,1.6272720438801422,0.13925729767376985,0.33369945915941446,-1.1580382882067952,-0.1466639045769062,-0.8143117750508286,0.019245758573798517,0.6470588235294118,-0.41849890851936195
1,5.588158275603471,2402.3251372578698,0.24676029142745326,1350.0120676580295,0.03275635469547317,-0.5857668705147044,-0.5629629974669422,7.885321057263151,0.0053261328736035505,1.8065158398745333,0.08279304626175943,0.0553899635488938,22.632900253903184,13.558174975329756,0.330763199819732,8.970630098128761e-11,0.0010721396974012433,0.0023156579060002935,0.9954693871502461,3489.754063175403,4.260563732493943,353508.0295843562,52.91119312380006,6.557281626743078,3.74172873407644,0.2087229774595222,-0.20973357015299343,1.3019750343341716,6.099487930184364,0.03063982129096981,5.672147552116883,2575.627362521417,-0.04072884377154312,1222.7557199465482,0.033727120388429385,-0.6026209472641049,-0.5845383712052911,7.943427623879859,0.005896446651907155,1.8233661307109232,0.07373128208765013,0.3181957730871787,16.569620407559427,11.782374483454054,0.3376343984337332,0.001249874200240452,0.0028670633137154672,0.9952645624201848,8579.593820769878,4.277536685276846,396167.0201842363,8.947680685803962e-11,54.69169280796737,3.181759540942505,1.6067490776977469,0.22328907216795305,-0.14230075527725458,0.7019961680303254,3.8687514249436488,0.03866394162178037,3.673469387755102,0.1692510636734526
2,5.757670348442678,2460.807724703299,0.24170609712377775,1234.0776643078582,0.19816652542466298,-0.04733924071276155,0.03475796430338865,-2.7319263723511487,0.001529375,-0.03254925346687398,0.1880341979026189,-0.39916444396614603,222.9636586995758,30.86576969698037,0.2837663872304545,1.9173478560425203e-11,0.0001868723354058,8.593232039896696e-05,0.9979182347682266,1878.3034462987089,4.2894156815794044,448633.6629136013,9.550907334591445,0.06869924315753811,0.13570168092230625,1.0,0.39235375454441257,-1.1763857003640192,2.303126028644552,0.040624489597976175,5.84930846497868,2922.0887601608347,-0.05217931442753596,1120.9414394158887,0.19838442381541022,-0.06807423968432812,0.005647495076926488,-2.627251090084969,0.001876875,0.09908940137014614,0.16416921449816183,0.2147815915571898,171.18994736796392,27.311838979852308,0.28273137766793244,0.00021427319323795118,1.1301032466333398e-05,0.9987854886737675,6750.397455095124,3.731511765295409,682364.8775601092,2.630096164980111e-11,8.904321517081229,0.05856970275301126,0.16008138078833273,0.9708333333333333,0.9413296195763362,-1.3404750583772476,1.7056844215801306,0.04183101546019314,0.125,0.5897404107213946
3,5.686352727172639,2375.196677307656,0.2884277677362303,1270.7431239704433,0.011539919113948792,0.022084470213926528,0.057803136812706685,-1.7992124600302857,0.0002075641025641,0.037970078743065856,0.00809716599190283,2.4059413197476607,165.04109600994116,27.211924533910555,0.012185911614470569,2.6263208971681387e-11,0.000641607882251177,0.0007504701539029767,0.9982675636594854,787.9280512809589,3.6142369183981295,706445.100205009,17.85882255120587,0.3345830462525798,0.6088748886653095,1.0,1.7853963512663307,0.08042358902407959,-1.0485181142700322,0.042950247273995275,5.621201699726017,2265.912880188623,0.01873028655757287,1134.1212358509838,0.011597414908692054,0.009575928096406549,0.04321627820517682,-1.5709141047543393,0.00022525641025640772,0.061298707960502935,0.00809716599190283,1.3763316734301396,115.67285979604942,23.309070571430933,0.012286088881906245,0.00043100641462289233,0.0013640665816465536,0.9969127469170982,3607.6805265415674,3.210831985274112,483984.0713338131,4.014470944420169e-11,21.227627556175396,0.37744909290274664,0.22879204001535122,1.0,1.3699843711465505,-0.13488653090283004,-0.9397637245223789,0.04415772458681688,0.0,-0.3907664093095515
4,5.696977274863906,2436.6736390632705,0.2493180861677894,1233.6556623677964,0.02267224922446627,-0.398402634773667,-0.37199678058878005,0.03354550718980768,0.0012755555555555515,0.01851061252436466,0.04789328692317982,-0.5693756106302329,76.51358962490598,18.169982512786515,0.08514206253027978,4.387722586264703e-11,0.0002897901602898714,0.0002436749209579715,0.9983344818937078,3011.0206099419993,3.8783050068225466,502412.10188603244,20.99037508112446,0.19793340957155742,0.3448069357278751,0.9774305555555556,0.9869049402425198,-0.36704063220102,0.5976938014213373,0.025363045819103675,5.789118061569305,2654.528158905375,-0.0391090520107125,1110.57752784558,0.02496076592352232,-0.4166909320144993,-0.39396182718003564,0.21629229758065124,0.001356550925925922,0.10339105341545149,0.12785501167045096,0.181998645953933,62.39095967626295,16.594688670419195,0.08952524162371854,0.0002818616195872064,0.00024552727637664075,0.9987132943515934,8370.795027224893,3.5463594189705434,618557.1539797187,6.66191693161873e-11,21.086475045715574,0.16129221287549056,0.3477046029346813,0.9222856397905661,1.0773615680462625,-0.4167014881750794,-0.4799474132318529,0.05249049448718624,0.3472222222222222,-0.00923528813100086
